,SKU,Fecha,Toneladas
2837,PH NOBLE DH 24 X 2,2020-12-12,1.480236
2839,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-11-03,141600.0
2842,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-03-31,283196.16
2843,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-11-23,103820.0
2846,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-03-04,402000.0
2847,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2021-04-16,116952.0
2852,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-08-21,195535.808
2865,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-06-01,114000.0
2869,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-08-06,310560.0
2870,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-05-08,59334.0
2875,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-05-17,779.976
2878,PH ELITE DH 2 X 10 LA,2020-07-14,11.089893
2880,PH NOBLE DH 2 X 10,2020-05-21,38.623624
2886,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-02-26,102432.0
2888,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-05-10,0.1959
2889,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-02-02,0.000729
2891,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-05-20,146991.744
2893,PH HIGIENOL DH 4x6 40 METROS,2021-01-22,5.372549
2894,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-02-29,212400.0
2901,PH NOBLE DH 24 X 2,2019-12-09,1.159434
2904,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-11-12,283404.672
2905,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-08-18,195328.768
2907,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-09-24,37140.48
2911,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-03-15,4224.0
2914,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-06-02,133123.2
2915,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-05-02,336.0
2918,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-10-20,36941.184
2924,PH ELITE DUO  DH 4x12 25 METROS,2020-06-20,7.164548
2926,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-02-21,44288.0
2930,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2019-10-20,43120.0
2931,SE ELITE CORTADA 1000 X 12,2020-10-06,0.101217
2937,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-02-20,5.472072
2939,RC NOVA DH MEGAROLLO  1 X 12,2020-08-31,23.453997
2940,PH ELITE PLUS DH 24 X 2,2020-02-11,0.715699
2942,PH NOBLE DH 24 X 2,2020-05-23,1.43982
2950,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-05-28,85120.0
2951,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-04-17,166808.0
2952,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-12-27,20500.0
2955,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-07-25,195834.88
2957,RC NOVA DH MEGAROLLO  2 X 6,2021-05-20,2.641056
2968,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-08-04,0.995756
2970,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-04-24,240.012
2973,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-11-13,210481.344
2975,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-10-25,4224.6144
2976,PH ELITE DUO  DH 4x12 25 METROS,2020-12-17,4.36465
2977,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-05-26,159368.0
2978,PH ELITE DUO  DH 6 x 8  25 METROS,2021-05-07,12.291006
2982,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-04-10,5.14261
2986,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-12-24,68500.0
2987,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-10-11,14403.456
2999,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-12-22,128766.208
3003,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-09-01,53400.0
3005,PH ELITE PLUS DH 24 X 2,2021-04-07,6.792802
3009,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-06-06,24952.32
3012,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-06-11,350314.56
3015,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-05-20,129800.0
3021,SE ELITE CORTADA 1000 X 12,2020-06-05,0.044039
3027,PH NOBLE DH 24 X 2,2021-02-16,1.898289
3028,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-02-18,64512.0
3029,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-07-30,47395.8
3030,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-04-23,1619.9676
3033,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-01-04,323739.1872
3034,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-08-21,250520.832
3040,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-10-08,288288.0
3044,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-06-13,71800.0
3045,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-11-16,53760.0
3049,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-06-15,810.0
3053,PH HIGIENOL DH  4 X 12,2020-01-25,9.01408
3055,RC NOVA DH MEGAROLLO  1 X 12,2020-12-09,27.618927
3056,PH ELITE  DH 4 X 12 LA,2020-12-22,15.989445
3060,PH ELITE DH 2 X 10 LA,2020-09-15,13.29549
3063,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-01-19,5515709.76
3065,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-07-18,240848.064
3072,PH HIGIENOL DH 4x6 40 METROS,2020-08-03,6.473377
3074,PH NOBLE DH 24 X 2,2019-12-26,1.290786
3077,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-08-06,416801.28
3079,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-07-13,565920.0
3080,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-01-14,1440.0
3081,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-07-31,623616.0
3082,RC NOVA DH MEGAROLLO  2 X 6,2021-02-09,6.144823
3086,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2019-09-26,68992.0
3088,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-09-27,0.197538
3091,PH ELITE DH 6 X 8 LA,2020-04-18,8.324891
3092,PH ELITE DUO  DH 6 x 8  25 METROS,2021-01-27,71.35768
3093,PH ELITE DH 6 X 8 LA,2021-06-10,5.425787
3098,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-12-10,48200.0
3100,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-05-18,112464.0
3102,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-09-25,40320.0
3104,PH ELITE DUO  DH 4x12 25 METROS,2020-10-21,3.943898
3113,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-09-03,97870.08
3114,PH ELITE DH 2 X 10 LA,2021-06-11,7.973208
3115,PH ELITE DUO  DH 6 x 8  25 METROS,2020-06-06,8.896587
3117,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-11-12,7.162885
3133,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-12-13,4928.0
3142,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-03-27,436659.84
3146,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-02-18,685798.2
3149,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-09-14,57594.0
3155,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-02-06,188760.0
3158,PH ELITE DUO  DH 6 x 8  25 METROS,2019-12-26,9.961933
3161, PH ELITE PLUS DH VERTICAL 6 X 8,2020-12-31,1.506011
3162,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-01-31,27835.776
3163,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-06-17,69948.0
3167,PH HIGIENOL DH 4x6 40 METROS,2020-01-10,6.84822
3171,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-03-08,0.050614
3173,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-10-15,46336.0
3179,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-01-16,232189.44
3182,PH ELITE DH 24 X 2 LA,2020-02-02,0.26319
3183,PH ELITE DUO  DH 4x12 25 METROS,2020-02-09,0.01945
3186,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2019-10-01,9.730368
3190,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-01-29,0.143582
3191,PH ELITE PLUS DH 24 X 2,2021-06-26,0.302914
3196,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-12-19,112281.7536
3197,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-03-05,293472.0
3200,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-04-10,0.0151
3202,PH NOBLE DH 24 X 2,2021-03-05,2.090265
3209,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-02-08,425161.728
3213,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-04-07,143412.224
3216,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2019-10-06,12000.0
3217,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-10-28,256704.0
3219,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-05-26,222000.0
3225,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-01-11,156464.0
3226,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-02-13,50440.32
3230,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-03-19,0.132083
3231,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-02-11,112298.432
3233,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-10-08,141000.0
3244,PH NOBLE DH 24 X 2,2020-04-07,2.375703
3245,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-06-21,192703.104
3248,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-05-14,41400.0
3249,PH ELITE DUO  DH 6 x 8  25 METROS,2020-03-18,5.939015
3252,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-01-05,0.209184
3254,PH ELITE PLUS DH 24 X 2,2020-03-28,1.793948
3255,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-03-27,199632.0
3258,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-03-04,755.9892
3262,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-07-13,74994.0
3267,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-02-11,130025.0
3273,PH ELITE  DH 4 X 12 LA,2020-03-05,18.680358
3274,PH ELITE  DH 4 X 12 LA,2020-09-10,13.531641
3277,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-06-02,531871.488
3281,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-04-09,0.066281
3285,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2019-10-11,203436.288
3287,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-01-19,3648.6144
3289,PH HIGIENOL DH 4x6 40 METROS,2019-11-11,5.597932
3290,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-11-10,71398.8
3291,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-01-30,87116.0
3295,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-08-27,810.0
3296,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-03-31,146784.0
3301,PH ELITE CLÁSICO DH 2 X 10 CO,2019-09-15,0.059345
3305, PH ELITE PLUS DH VERTICAL 6 X 8,2020-08-21,0.967531
3311,PH ELITE PLUS DH 24 X 2,2021-04-01,0.549334
3315,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-03-26,77256.0
3320,PH ELITE DH 24 X 2 LA,2019-11-08,9.488411
3325,PH ELITE DH 6 X 8 LA,2021-02-27,3.846181
3329,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-01-27,5.310516
3330,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-03-09,30543.6672
3331, PH ELITE PLUS DH VERTICAL 6 X 8,2020-08-27,1.095461
3333,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-01-08,0.920739
3335,PH ELITE DH 2 X 10 LA,2021-03-23,8.283435
3336,PH HIGIENOL DH  4 X 12,2019-10-14,9.420105
3337,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-04-15,87200.0
3338,RC NOVA DH MEGAROLLO  2 X 6,2020-03-31,1.584786
3340,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-07-01,159600.0
3341,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-09-25,373200.192
3343,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-01-29,28160.0
3344,PH ELITE DH 6 X 8 LA,2020-09-14,6.238901
3347,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-06-25,68584.32
3348,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-06-22,0.826059
3351,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-05-25,179272.3968
3354,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-06-20,65536.0
3358,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2019-09-27,156376.0
3362,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-09-15,4577712.192
3365,PH ELITE DUO  DH 4x12 25 METROS,2019-11-18,7.299694
3371,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-03-18,8.440807
3377,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-12-01,3500.0
3379,PH NOBLE DH 24 X 2,2021-06-19,0.709806
3380,PH ELITE DH 24 X 2 LA,2019-10-16,9.235719
3381,PH HIGIENOL DH 4x6 40 METROS,2020-04-25,4.253951
3393,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-11-18,131032.0
3394,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-05-06,68288.64
3395,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-03-19,33408.0
3398,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-04-23,151096.0
3400,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2019-09-23,489732.7104
3402,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-08-26,101200.0
3404,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-11-20,103711.296
3412,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-12-03,6600.6
3414,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-02-11,169728.0
3416,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-07-18,66000.0
3418,SE ELITE CORTADA 1000 X 12,2019-09-10,0.333139
3424,PH ELITE DH 2 X 10 LA,2021-01-19,12.044356
3428,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-03-04,273168.0
3436,RC NOVA DH MEGAROLLO  1 X 12,2020-08-05,23.640317
3444,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-01-19,180000.0
3447,PH ELITE DH 6 X 8 LA,2020-01-23,9.143498
3448,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-05-25,107669.1456
3449,PH ELITE DUO  DH 4x12 25 METROS,2020-05-25,10.008109
3450,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-12-26,29184.0
3453,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-08-22,58522.0
3454,PH ELITE DH 2 X 10 LA,2019-09-03,17.023492
3456,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-02-20,239.976
3465,PH ELITE  DH 4 X 12 LA,2020-11-12,9.957543
3467,PH ELITE DUO  DH 6 x 8  25 METROS,2020-04-27,28.427005
3469,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-04-19,367930.944
3470,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-12-19,6.763983
3477,PH NOBLE DH 24 X 2,2021-03-28,0.051783
3478,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-01-09,103168.0
3487,PH ELITE DUO  DH 6 x 8  25 METROS,2021-06-16,50.267978
3493,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2019-10-19,2992878.72
3495,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-06-18,151200.0
3499,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-01-06,0.197
3500,PH ELITE DH 24 X 2 LA,2020-01-10,11.325703
3505,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-04-07,227904.0
3515,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-12-16,2.434095
3520,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-10-08,379393.6896
3525,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-03-16,202742.4
3526,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-06-20,130199.4
3530,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-01-23,1998.0108
3531,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-03-10,408672.0
3533,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2019-11-06,210424.0
3534,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-02-11,252768.0
3535,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-07-03,8831.6928
3536,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-04-24,3.135646
3537,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-03-02,0.1535
3538,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-07-20,80800.0
3539,PH HIGIENOL DH 4x6 40 METROS,2019-09-09,3.600871
3540,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-01-12,60928.0
3541, PH ELITE PLUS DH VERTICAL 6 X 8,2020-07-15,1.138367
3542,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2019-10-20,3600.0
3544,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-01-07,250240.0
3545,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2019-10-20,98384.0
3548,PH ELITE PLUS DH 24 X 2,2021-02-23,3.751116
3551,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-10-16,133781.76
3553,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-06-09,173448.0
3554,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-12-07,4105864.512
3555,PH ELITE DUO  DH 4x12 25 METROS,2021-03-13,5.237386
3559,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-01-02,20800.0
3560,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-05-04,24708.0
3561,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-04-25,96272.0
3562,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-09-12,319104.0
3570,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-10-21,72448.0
3574,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-04-14,307008.0
3576,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-05-25,142500.0
3581,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-11-05,138485.76
3582,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-03-25,59649.024
3586,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-12-08,6.250193
3590,PH ELITE DUO  DH 6 x 8  25 METROS,2021-01-04,15.652006
3597,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-03-16,59520.0
3600,PH NOBLE DH 2 X 10,2020-11-03,20.505356
3603,PH NOBLE DH 24 X 2,2020-01-18,1.537071
3607,PH ELITE DUO  DH 4x12 25 METROS,2020-03-23,4.506173
3608,RC NOVA DH MEGAROLLO  2 X 6,2021-01-17,0.054468
3611,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-12-22,839.988
3613,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2019-12-18,3743964.288
3615,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2019-10-19,96624.0
3618,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-11-14,28400.0
3619,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-06-14,80168.0
3623,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-09-15,213264.0
3624,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-10-23,0.759125
3626,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-01-14,189892.0
3627,PH HIGIENOL DH 4x6 40 METROS,2020-08-29,6.068425
3628,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-01-23,130816.0
3634,PH ELITE DH 6 X 8 LA,2020-11-10,5.161954
3640,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-10-17,5.708574
3643,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-01-07,411408.0
3649,PH ELITE DH 24 X 2 LA,2020-09-15,9.519626
3650,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-03-09,65424.0
3653,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-02-01,333360.576
3658,SE ELITE CORTADA 1000 X 12,2019-11-06,0.307333
3663,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-08-25,85793.4
3664,PH ELITE PLUS DH 24 X 2,2019-12-16,5.352009
3665,PH ELITE DH 2 X 10 LA,2020-05-12,14.612005
3667,TH TOALLITAS HUMEDAS PREMIUM 184x8,2019-10-27,1472.0
3668,PH NOBLE DH 2 X 10,2021-03-23,15.957332
3669,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-03-14,241081.344
3673,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-12-13,2400.0
3675,PH ELITE  DH 4 X 12 LA,2021-04-24,19.925554
3676,PH ELITE DUO  DH 6 x 8  25 METROS,2019-11-16,5.064423
3682, PH ELITE PLUS DH VERTICAL 6 X 8,2021-02-09,5.572953
3684,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-01-26,6016.0
3687,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-06-07,576.0
3688,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-11-29,1624.0
3694,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-01-06,140400.0
3697,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-12-28,208736.0
3698,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-03-09,256561.344
3702,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-02-04,66248.0
3714,PH ELITE DH 24 X 2 LA,2020-12-27,1.015327
3716,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-07-26,2112.0
3717,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-03-17,216845.1072
3719,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-02-10,0.15675
3721,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-05-06,331220.736
3723,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-06-02,148596.0
3724,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-12-21,335616.0
3729,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-06-20,0.068749
3732,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-05-27,1.102765
3733,PH ELITE PLUS DH 24 X 2,2020-08-01,1.558514
3742,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-08-23,2400.0
3746,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2019-11-13,10.381586
3754,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-12-07,0.095171
3755,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-11-15,3760.0
3758,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-08-05,61480.0
3759,RC NOVA DH MEGAROLLO  2 X 6,2019-11-26,0.775479
3760,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-05-14,166361.92
3763,PH ELITE  DH 4 X 12 LA,2021-04-27,20.347314
3765,PH ELITE CLÁSICO DH 2 X 10 CO,2020-08-15,0.47476
3766,PH NOBLE DH 2 X 10,2021-03-26,14.77951
3769,PH ELITE DH 2 X 10 LA,2020-05-15,12.84274
3772,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2019-12-22,1619.8704
3773,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-07-20,70296.0
3793,PH ELITE DH 24 X 2 LA,2021-02-11,8.247146
3796,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2019-12-20,148824.0
3800,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2019-10-16,0.17746
3806,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-09-10,155808.0
3807,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-05-20,4.167024
3811,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-09-18,74360.0
3812,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-03-19,43152.0
3815,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-05-02,959.8464
3817,PH HIGIENOL DH  4 X 12,2020-05-27,9.689664
3819,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-03-21,0.034292
3822,SE ELITE CORTADA 1000 X 12,2021-02-09,0.139242
3823,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-12-11,111408.0
3824,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2019-11-09,146344.0
3825,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-11-11,58181.76
3827,RC NOVA DH MEGAROLLO  1 X 12,2020-04-04,13.700179
3829,PH HIGIENOL DH 4x6 40 METROS,2020-04-02,5.305194
3832,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2019-10-11,196272.0
