,Categoria,Fecha,Cantidad
1176,02 Rollos de Cocina,2020-07-07,54358.81
1177,01 Higiénicos Masivos,2020-10-13,275599.57
1178,04 Pañuelos Masivos,2021-05-01,0.25
1179,38 Pañales Adultos,2020-01-03,672.46
1180,02 Rollos de Cocina,2021-01-12,75803.24
1181,01 Mascotas,2020-06-02,1.17
1182,11 Toallas Húmedas,2020-07-23,784.37
1183,01 Mascotas,2020-12-05,10.39
1184,05 Pañales Bebe,2021-03-01,17220.36
1185,04 Pañuelos Masivos,2020-11-05,104.77
1186,01 Mascarilla ,2021-01-23,68.4
1187,38 Pañales Adultos,2021-02-21,2.33
1188,11 Toallas Húmedas,2021-01-25,1662.81
1189,01 Higiénicos Masivos,2020-10-22,303770.24
1190,02 Rollos de Cocina,2020-01-06,47565.29
1191,01 Mascarilla ,2021-01-29,21.74
1192,10 Toallas Femeninas,2020-10-22,4171.58
1193,02 Rollos de Cocina,2020-07-10,57694.25
1194,04 Pañuelos Masivos,2021-05-10,49.8
1195,04 Pañuelos Masivos,2019-09-14,118.34
1196,01 Higiénicos Masivos,2020-10-16,299939.53
1197,10 Toallas Femeninas,2020-04-19,6.0
1198,05 Pañales Bebe,2020-01-11,37998.46
1199,03 Servilletas Masivos,2020-12-31,32742.15
1200,11 Toallas Húmedas,2019-12-01,9.78
1201,03 Servilletas Masivos,2019-11-06,61027.84
1202,04 Pañuelos Masivos,2021-05-07,106.41
1203,01 Mascotas,2020-12-08,9.33
1204,04 Pañuelos Masivos,2020-11-02,37.54
1205,01 Mascarilla ,2021-01-26,41.75
1206,01 Mascotas,2020-12-02,58.0
1207,11 Toallas Húmedas,2021-01-22,1138.55
1208,05 Pañales Bebe,2021-03-04,28439.8
1209,01 Higiénicos Masivos,2020-04-16,399017.23
1210,38 Pañales Adultos,2021-02-24,907.83
1211,02 Rollos de Cocina,2020-01-09,45416.15
1212,02 Rollos de Cocina,2020-07-13,61563.62
1213,04 Pañuelos Masivos,2019-09-11,196.14
1214,10 Toallas Femeninas,2020-10-25,206.3
1215,10 Toallas Femeninas,2019-10-19,3917.44
1216,03 Servilletas Masivos,2020-06-25,15919.76
1217,38 Pañales Adultos,2020-08-22,829.61
1218,01 Higiénicos Masivos,2020-10-19,246276.55
1219,05 Pañales Bebe,2020-01-08,54753.86
1220,03 Servilletas Masivos,2020-12-28,33219.11
1221,38 Pañales Adultos,2019-12-31,933.63
1222,10 Toallas Femeninas,2020-04-22,5210.12
1223,11 Toallas Húmedas,2019-12-04,514.15
1224,05 Pañales Bebe,2021-03-07,912.83
1225,03 Servilletas Masivos,2020-07-04,14226.81
1226,10 Toallas Femeninas,2019-10-22,3959.72
1227,05 Pañales Bebe,2020-09-02,40340.11
1228,01 Higiénicos Masivos,2019-10-16,330739.83
1229,03 Servilletas Masivos,2019-12-31,67457.64
1230,01 Mascarilla ,2020-11-26,1.25
1231,10 Toallas Femeninas,2021-06-14,3858.41
1232,01 Higiénicos Masivos,2020-04-25,265526.14
1233,02 Rollos de Cocina,2020-01-15,44022.08
1234,10 Toallas Femeninas,2021-06-20,198.21
1235,38 Pañales Adultos,2020-04-22,1189.9
1236,01 Higiénicos Masivos,2020-04-19,16392.0
1237,38 Pañales Adultos,2020-10-25,3.25
1238,10 Toallas Femeninas,2020-12-16,4497.04
1239,04 Pañuelos Masivos,2020-05-06,58.41
1240,11 Toallas Húmedas,2021-03-27,904.44
1241,01 Mascarilla ,2020-11-20,3.58
1242,38 Pañales Adultos,2021-04-29,1408.89
1243,10 Toallas Femeninas,2020-04-25,7477.57
1244,01 Higiénicos Masivos,2021-06-14,225382.66
1245,11 Toallas Húmedas,2020-09-22,816.25
1246,38 Pañales Adultos,2020-08-05,712.89
1247,02 Rollos de Cocina,2020-07-27,72035.38
1248,01 Higiénicos Masivos,2021-03-02,200270.41
1249,02 Rollos de Cocina,2021-01-29,132247.59
1250,10 Toallas Femeninas,2020-04-10,13.0
1251,38 Pañales Adultos,2021-02-07,18.08
1252,01 Mascotas,2020-03-19,0.17
1253,05 Pañales Bebe,2019-09-01,185.2
1254,11 Toallas Húmedas,2020-11-29,141.68
1255,04 Pañuelos Masivos,2019-09-02,186.93
1256,10 Toallas Femeninas,2020-10-13,5212.27
1257,11 Toallas Húmedas,2020-05-27,1032.13
1258,11 Toallas Húmedas,2020-12-02,892.88
1259,01 Higiénicos Masivos,2020-09-03,276978.25
1260,01 Mascotas,2021-05-11,17.67
1261,05 Pañales Bebe,2020-09-04,44476.36
1262,10 Toallas Femeninas,2020-04-13,4856.75
1263,04 Pañuelos Masivos,2021-04-28,81.24
1264,02 Rollos de Cocina,2021-01-26,71670.59
1265,03 Servilletas Masivos,2021-04-04,1119.5
1266,03 Servilletas Masivos,2020-09-30,27569.75
1267,04 Pañuelos Masivos,2020-10-24,92.74
1268,01 Higiénicos Masivos,2020-08-28,339561.31
1269,10 Toallas Femeninas,2019-10-10,4675.85
1270,05 Pañales Bebe,2020-03-02,19766.67
1271,01 Mascarilla ,2021-05-23,2.45
1272,04 Pañuelos Masivos,2020-10-27,276.06
1273,02 Rollos de Cocina,2019-12-05,41967.72
1274,11 Toallas Húmedas,2020-11-26,792.96
1275,10 Toallas Femeninas,2021-06-05,6099.28
1276,05 Pañales Bebe,2021-04-27,33122.02
1277,02 Rollos de Cocina,2020-07-24,74870.33
1278,38 Pañales Adultos,2020-08-08,681.45
1279,04 Pañuelos Masivos,2020-04-24,97.29
1280,01 Mascotas,2021-05-14,3.17
1281,05 Pañales Bebe,2020-03-05,27165.78
1282,03 Servilletas Masivos,2021-04-01,7746.46
1283,01 Mascarilla ,2020-10-03,0.63
1284,01 Higiénicos Masivos,2020-02-27,332735.39
1285,04 Pañuelos Masivos,2019-09-05,182.79
1286,10 Toallas Femeninas,2021-06-02,3948.5
1287,38 Pañales Adultos,2020-02-04,571.72
1288,01 Higiénicos Masivos,2020-08-31,593318.64
1289,03 Servilletas Masivos,2020-09-27,273.97
1290,01 Mascarilla ,2021-05-26,10.47
1291,11 Toallas Húmedas,2019-10-08,471.53
1292,11 Toallas Húmedas,2021-06-03,855.36
1293,01 Mascotas,2020-11-09,6.92
1294,02 Rollos de Cocina,2021-03-22,66334.5
1295,05 Pañales Bebe,2019-09-07,31375.73
1296,01 Mascotas,2020-11-18,23.54
1297,10 Toallas Femeninas,2021-06-08,4407.23
1298,10 Toallas Femeninas,2020-12-04,4044.65
1299,38 Pañales Adultos,2019-12-11,737.28
1300,11 Toallas Húmedas,2020-11-23,832.01
1301,03 Servilletas Masivos,2020-10-06,22027.73
1302,04 Pañuelos Masivos,2020-10-30,139.28
1303,04 Pañuelos Masivos,2020-04-27,71.91
1304,03 Servilletas Masivos,2020-04-03,18608.21
1305,02 Rollos de Cocina,2020-08-02,2195.0
1306,05 Pañales Bebe,2021-04-30,108069.83
1307,01 Higiénicos Masivos,2020-03-04,309561.64
1308,11 Toallas Húmedas,2020-04-05,18.5
1309,01 Mascarilla ,2020-11-24,2.5
1310,01 Higiénicos Masivos,2020-03-01,827.14
1311,01 Mascarilla ,2021-05-29,4.5
1312,02 Rollos de Cocina,2020-01-29,44950.81
1313,10 Toallas Femeninas,2019-10-16,3349.81
1314,05 Pañales Bebe,2021-05-03,18367.24
1315,11 Toallas Húmedas,2019-10-05,665.58
1316,04 Pañuelos Masivos,2019-10-27,2.65
1317,01 Higiénicos Masivos,2021-04-26,240596.05
1318,38 Pañales Adultos,2021-02-04,878.97
1319,11 Toallas Húmedas,2021-05-25,975.16
1320,01 Mascotas,2020-11-12,6.0
1321,05 Pañales Bebe,2020-03-08,572.8
1322,01 Mascotas,2021-05-17,2.67
1323,05 Pañales Bebe,2020-10-29,47102.8
1324,04 Pañuelos Masivos,2021-06-22,37.13
1325,03 Servilletas Masivos,2020-10-03,17212.56
1326,11 Toallas Húmedas,2021-05-31,1529.54
1327,38 Pañales Adultos,2019-12-14,555.96
1328,02 Rollos de Cocina,2020-01-26,399.45
1329,10 Toallas Femeninas,2020-12-07,4118.72
1330,11 Toallas Húmedas,2019-09-29,41.84
1331,01 Mascarilla ,2020-11-27,1.68
1332,05 Pañales Bebe,2019-09-04,41911.94
1333,03 Servilletas Masivos,2020-04-06,19326.54
1334,03 Servilletas Masivos,2020-03-31,36682.07
1335,04 Pañuelos Masivos,2020-04-30,145.39
1336,10 Toallas Femeninas,2021-06-11,3982.76
1337,01 Mascotas,2020-05-13,1.17
1338,05 Pañales Bebe,2019-09-10,32105.35
1339,01 Higiénicos Masivos,2020-03-07,312266.41
1340,02 Rollos de Cocina,2020-07-30,84266.31
1341,01 Mascarilla ,2021-06-01,3.98
1342,05 Pañales Bebe,2020-10-26,39584.61
1343,38 Pañales Adultos,2021-02-01,778.74
1344,10 Toallas Femeninas,2019-10-13,98.23
1345,03 Servilletas Masivos,2019-09-30,78776.92
1346,11 Toallas Húmedas,2019-10-02,585.35
1347,01 Mascotas,2021-05-20,1.63
1348,10 Toallas Femeninas,2020-04-16,5195.86
1349,01 Higiénicos Masivos,2021-04-23,282474.14
1350,04 Pañuelos Masivos,2021-06-19,54.08
1351,03 Servilletas Masivos,2021-05-26,18683.26
1352,11 Toallas Húmedas,2021-05-28,1085.9
1353,05 Pañales Bebe,2020-05-02,33845.52
1354,01 Mascarilla ,2020-09-24,0.08
1355,01 Higiénicos Masivos,2019-09-06,396740.18
1356,10 Toallas Femeninas,2019-12-07,3093.49
1357,02 Rollos de Cocina,2021-03-28,1219.75
1358,38 Pañales Adultos,2021-04-06,919.39
1359,03 Servilletas Masivos,2020-11-27,22258.73
1360,01 Higiénicos Masivos,2020-10-08,307475.11
1361,05 Pañales Bebe,2020-04-12,415.0
1362,38 Pañales Adultos,2021-03-17,597.33
1363,11 Toallas Húmedas,2021-02-18,1044.85
1364,05 Pañales Bebe,2020-10-15,36666.8
1365,03 Servilletas Masivos,2020-12-17,25058.01
1366,04 Pañuelos Masivos,2021-01-10,12.55
1367,02 Rollos de Cocina,2021-04-17,54398.73
1368,38 Pañales Adultos,2020-09-15,1036.84
1369,01 Higiénicos Masivos,2021-04-12,205242.06
1370,10 Toallas Femeninas,2020-06-27,4496.79
1371,03 Servilletas Masivos,2021-06-21,18558.61
1372,01 Mascarilla ,2020-10-14,2.58
1373,04 Pañuelos Masivos,2019-11-19,246.66
1374,03 Servilletas Masivos,2019-10-26,51194.45
1375,10 Toallas Femeninas,2020-06-30,6077.22
1376,01 Mascotas,2020-04-29,0.38
1377,38 Pañales Adultos,2021-03-20,839.18
1378,01 Higiénicos Masivos,2021-04-09,323118.06
1379,01 Mascarilla ,2021-04-15,5.58
1380,02 Rollos de Cocina,2020-02-21,42155.34
1381,04 Pañuelos Masivos,2021-01-13,86.5
1382,02 Rollos de Cocina,2020-10-13,63363.64
1383,03 Servilletas Masivos,2020-12-20,1291.22
1384,01 Higiénicos Masivos,2020-10-05,341566.55
1385,11 Toallas Húmedas,2021-02-15,795.92
1386,01 Mascotas,2020-11-01,0.25
1387,04 Pañuelos Masivos,2020-07-11,81.67
1388,10 Toallas Femeninas,2020-01-05,82.38
1389,01 Higiénicos Masivos,2020-10-11,597.17
1390,01 Mascarilla ,2020-10-17,6.68
1391,01 Higiénicos Masivos,2020-04-08,338112.44
1392,10 Toallas Femeninas,2019-12-30,4117.53
1393,11 Toallas Húmedas,2019-12-19,688.78
1394,01 Mascarilla ,2020-10-23,704.18
1395,02 Rollos de Cocina,2020-04-16,59505.56
1396,05 Pañales Bebe,2021-06-07,26322.16
1397,10 Toallas Femeninas,2020-07-03,4558.1
1398,10 Toallas Femeninas,2021-02-23,5473.18
1399,01 Mascotas,2020-12-23,95.08
1400,02 Rollos de Cocina,2020-04-13,106497.07
1401,04 Pañuelos Masivos,2020-07-14,155.25
1402,03 Servilletas Masivos,2020-06-20,14796.29
1403,38 Pañales Adultos,2020-01-15,797.89
1404,11 Toallas Húmedas,2020-06-22,736.73
1405,04 Pañuelos Masivos,2021-01-16,67.21
1406,03 Servilletas Masivos,2020-12-23,29027.56
1407,05 Pañales Bebe,2019-10-15,33190.21
1408,38 Pañales Adultos,2020-07-25,648.01
1409,01 Mascotas,2020-05-02,0.17
1410,01 Higiénicos Masivos,2020-04-11,216243.84
1411,04 Pañuelos Masivos,2020-07-20,81.83
1412,02 Rollos de Cocina,2021-04-20,52475.58
1413,02 Rollos de Cocina,2020-10-16,48798.64
1414,01 Higiénicos Masivos,2020-10-14,283998.96
1415,05 Pañales Bebe,2020-04-18,40755.11
1416,01 Mascarilla ,2020-10-20,3.98
1417,10 Toallas Femeninas,2020-01-02,2410.94
1418,01 Higiénicos Masivos,2021-06-03,164706.41
1419,01 Mascotas,2021-06-24,11.36
1420,04 Pañuelos Masivos,2020-01-13,88.89
1421,11 Toallas Húmedas,2019-12-22,87.41
1422,38 Pañales Adultos,2020-01-21,640.19
1423,05 Pañales Bebe,2021-06-10,37396.87
1424,02 Rollos de Cocina,2020-10-19,50317.35
1425,38 Pañales Adultos,2020-01-18,1370.79
1426,05 Pañales Bebe,2019-10-12,40954.87
1427,10 Toallas Femeninas,2021-02-20,4873.89
1428,38 Pañales Adultos,2020-07-22,1027.14
1429,05 Pañales Bebe,2020-04-15,56713.84
1430,11 Toallas Húmedas,2020-06-25,772.94
1431,04 Pañuelos Masivos,2020-07-17,88.17
1432,03 Servilletas Masivos,2020-06-23,24597.82
1433,03 Servilletas Masivos,2020-06-17,23262.29
1434,01 Higiénicos Masivos,2021-06-06,6891.69
1435,04 Pañuelos Masivos,2020-01-16,128.76
1436,03 Servilletas Masivos,2019-12-23,72431.61
1437,11 Toallas Húmedas,2021-04-14,932.58
1438,38 Pañales Adultos,2021-05-14,679.37
1439,02 Rollos de Cocina,2019-10-19,36585.79
1440,38 Pañales Adultos,2020-03-22,0.5
1441,10 Toallas Femeninas,2020-08-24,6198.03
1442,01 Mascotas,2020-06-23,2.0
1443,05 Pañales Bebe,2019-10-21,37687.06
1444,01 Higiénicos Masivos,2019-10-14,362152.57
1445,05 Pañales Bebe,2021-06-13,219.83
1446,04 Pañuelos Masivos,2020-01-22,182.01
1447,02 Rollos de Cocina,2020-04-22,63489.02
1448,01 Higiénicos Masivos,2020-04-17,352977.1
1449,11 Toallas Húmedas,2020-02-21,571.52
1450,38 Pañales Adultos,2020-03-25,570.59
1451,05 Pañales Bebe,2020-12-09,31407.05
1452,02 Rollos de Cocina,2020-12-10,72744.76
1453,01 Mascotas,2020-12-29,3.71
1454,03 Servilletas Masivos,2020-06-26,24116.7
1455,01 Mascarilla ,2021-02-16,13.67
1456,04 Pañuelos Masivos,2021-03-12,82.09
1457,38 Pañales Adultos,2019-09-21,396.6
1458,02 Rollos de Cocina,2021-06-14,60779.66
1459,38 Pañales Adultos,2021-05-17,781.45
1460,02 Rollos de Cocina,2019-10-16,40441.73
1461,10 Toallas Femeninas,2020-08-27,5755.97
1462,01 Mascotas,2020-06-26,5.54
1463,01 Higiénicos Masivos,2021-06-09,244427.63
1464,11 Toallas Húmedas,2021-04-17,813.28
1465,05 Pañales Bebe,2020-12-06,731.13
1466,10 Toallas Femeninas,2021-03-01,3188.86
1467,02 Rollos de Cocina,2020-04-19,11269.0
1468,03 Servilletas Masivos,2019-12-20,69933.77
1469,03 Servilletas Masivos,2019-12-26,53267.65
1470,04 Pañuelos Masivos,2020-01-19,1.85
1471,01 Higiénicos Masivos,2019-10-11,338229.87
1472,11 Toallas Húmedas,2020-02-24,677.52
1473,10 Toallas Femeninas,2019-09-09,3636.32
1474,01 Mascotas,2020-07-21,8.75
1475,03 Servilletas Masivos,2021-01-09,30251.25
1476,38 Pañales Adultos,2021-06-11,1050.41
1477,04 Pañuelos Masivos,2020-03-24,50.29
1478,02 Rollos de Cocina,2020-07-22,76060.84
1479,11 Toallas Húmedas,2020-02-06,812.3
1480,01 Mascotas,2021-01-23,7.21
1481,05 Pañales Bebe,2021-04-19,24511.33
1482,10 Toallas Femeninas,2021-05-05,3992.87
1483,02 Rollos de Cocina,2021-01-21,69460.12
1484,01 Higiénicos Masivos,2020-06-04,390734.74
1485,04 Pañuelos Masivos,2021-05-19,111.87
1486,02 Rollos de Cocina,2020-07-19,1687.25
1487,11 Toallas Húmedas,2020-08-13,692.6
1488,05 Pañales Bebe,2020-02-26,39390.57
1489,01 Higiénicos Masivos,2020-12-07,345395.72
1490,04 Pañuelos Masivos,2019-09-23,138.09
1491,10 Toallas Femeninas,2020-10-31,9247.99
1492,03 Servilletas Masivos,2021-01-03,811.56
1493,04 Pañuelos Masivos,2020-11-20,46.61
1494,01 Higiénicos Masivos,2019-12-07,314668.69
1495,02 Rollos de Cocina,2020-01-21,50653.13
1496,38 Pañales Adultos,2020-10-13,580.03
1497,05 Pañales Bebe,2020-10-18,657.77
1498,03 Servilletas Masivos,2021-01-12,28164.05
1499,11 Toallas Húmedas,2021-02-06,1124.19
1500,38 Pañales Adultos,2021-04-17,734.66
1501,01 Mascarilla ,2021-06-06,0.6
1502,01 Higiénicos Masivos,2020-06-10,330911.16
1503,10 Toallas Femeninas,2020-05-07,7093.82
1504,03 Servilletas Masivos,2020-07-10,16788.83
1505,02 Rollos de Cocina,2020-07-25,71935.61
1506,10 Toallas Femeninas,2019-11-03,54.05
1507,01 Mascarilla ,2020-12-02,1.18
1508,03 Servilletas Masivos,2020-07-13,19228.54
1509,10 Toallas Femeninas,2021-06-26,3671.33
1510,03 Servilletas Masivos,2020-01-09,71931.51
1511,05 Pañales Bebe,2020-10-21,42706.43
1512,04 Pañuelos Masivos,2019-09-26,143.57
1513,11 Toallas Húmedas,2020-08-04,772.76
1514,04 Pañuelos Masivos,2020-05-18,49.8
1515,38 Pañales Adultos,2020-10-19,809.56
1516,01 Mascotas,2020-07-27,0.33
1517,38 Pañales Adultos,2020-10-16,676.78
1518,01 Mascarilla ,2021-06-09,2.02
1519,02 Rollos de Cocina,2020-01-24,50252.68
1520,01 Higiénicos Masivos,2019-12-10,405821.54
1521,10 Toallas Femeninas,2020-05-04,4865.28
1522,05 Pañales Bebe,2019-09-02,31556.1
1523,03 Servilletas Masivos,2020-07-07,15044.84
1524,04 Pañuelos Masivos,2021-05-22,49.57
1525,01 Higiénicos Masivos,2019-12-04,284509.53
1526,01 Higiénicos Masivos,2020-06-07,240.83
1527,04 Pañuelos Masivos,2020-11-17,61.75
1528,02 Rollos de Cocina,2020-01-18,42775.09
1529,05 Pañales Bebe,2021-04-25,904.0
1530,10 Toallas Femeninas,2019-10-31,7400.09
1531,01 Higiénicos Masivos,2020-06-13,361088.42
1532,11 Toallas Húmedas,2020-08-07,929.88
1533,03 Servilletas Masivos,2020-01-06,58195.94
1534,05 Pañales Bebe,2020-10-24,36858.63
1535,01 Mascarilla ,2021-06-03,2.73
1536,11 Toallas Húmedas,2021-02-09,1138.54
1537,11 Toallas Húmedas,2019-12-16,563.3
1538,38 Pañales Adultos,2020-04-13,661.82
1539,10 Toallas Femeninas,2020-11-06,4847.22
1540,01 Mascotas,2020-07-30,7.37
1541,01 Mascotas,2020-07-24,3.58
1542,38 Pañales Adultos,2019-12-13,521.48
1543,03 Servilletas Masivos,2020-01-15,55883.56
1544,01 Mascotas,2021-03-19,0.67
1545,01 Higiénicos Masivos,2021-02-03,312834.77
1546,01 Higiénicos Masivos,2019-12-13,361180.5
1547,02 Rollos de Cocina,2021-03-20,75332.85
1548,11 Toallas Húmedas,2020-10-10,815.76
1549,38 Pañales Adultos,2020-06-16,872.94
1550,11 Toallas Húmedas,2020-04-07,521.58
1551,02 Rollos de Cocina,2020-09-15,123699.58
1552,05 Pañales Bebe,2020-10-27,51863.44
1553,10 Toallas Femeninas,2019-11-06,4373.3
1554,03 Servilletas Masivos,2021-03-08,20433.72
1555,05 Pañales Bebe,2021-06-19,25739.72
1556,38 Pañales Adultos,2020-12-19,809.26
1557,04 Pañuelos Masivos,2019-11-20,223.84
1558,02 Rollos de Cocina,2020-01-27,41696.24
1559,05 Pañales Bebe,2020-04-24,35296.18
1560,01 Mascotas,2021-03-25,2.6
1561,01 Mascarilla ,2021-03-31,6.14
1562,02 Rollos de Cocina,2021-03-23,80711.28
1563,05 Pañales Bebe,2019-10-24,40595.14
1564,01 Higiénicos Masivos,2021-02-06,206490.96
1565,10 Toallas Femeninas,2020-12-28,4580.18
1566,11 Toallas Húmedas,2020-10-07,854.73
1567,04 Pañuelos Masivos,2020-11-23,73.85
1568,38 Pañales Adultos,2020-06-13,563.55
1569,05 Pañales Bebe,2021-06-16,39442.24
1570,02 Rollos de Cocina,2020-09-18,86064.19
1571,11 Toallas Húmedas,2020-04-04,686.19
1572,05 Pañales Bebe,2020-04-21,38433.1
1573,38 Pañales Adultos,2020-12-16,1239.19
1574,10 Toallas Femeninas,2019-11-09,3742.95
1575,03 Servilletas Masivos,2021-03-05,19519.24
1576,04 Pañuelos Masivos,2019-11-17,0.15
1577,01 Higiénicos Masivos,2021-01-31,34382.72
1578,04 Pañuelos Masivos,2020-05-21,85.93
1579,01 Mascotas,2021-03-22,0.71
1580,10 Toallas Femeninas,2020-12-31,5393.63
1581,05 Pañales Bebe,2020-04-27,38216.28
1582,03 Servilletas Masivos,2020-01-12,1075.98
1583,02 Rollos de Cocina,2021-03-17,72517.54
1584,11 Toallas Húmedas,2021-04-11,95.2
1585,01 Mascarilla ,2021-04-03,3.35
1586,38 Pañales Adultos,2020-07-11,884.23
1587,05 Pañales Bebe,2019-10-26,35471.0
1588,11 Toallas Húmedas,2020-06-08,819.64
1589,01 Higiénicos Masivos,2020-08-06,273840.71
1590,01 Mascotas,2021-04-16,0.13
1591,02 Rollos de Cocina,2020-04-27,62068.1
1592,10 Toallas Femeninas,2021-03-03,4808.06
1593,10 Toallas Femeninas,2021-03-09,4379.86
1594,04 Pañuelos Masivos,2020-01-21,152.59
1595,03 Servilletas Masivos,2020-04-09,1381.0
1596,03 Servilletas Masivos,2020-10-15,24773.41
1597,01 Mascotas,2021-04-19,6.33
1598,05 Pañales Bebe,2020-12-14,35748.65
1599,05 Pañales Bebe,2021-06-18,39126.69
1600,02 Rollos de Cocina,2021-06-19,63191.23
1601,02 Rollos de Cocina,2019-10-24,36577.44
1602,38 Pañales Adultos,2020-07-08,958.6
1603,01 Mascotas,2020-02-26,0.58
1604,04 Pañuelos Masivos,2021-03-17,33.21
1605,01 Mascarilla ,2021-02-11,18.83
1606,38 Pañales Adultos,2020-07-14,877.14
1607,10 Toallas Femeninas,2020-01-13,5298.23
1608,01 Higiénicos Masivos,2021-03-29,336913.43
1609,38 Pañales Adultos,2019-11-16,712.87
1610,02 Rollos de Cocina,2020-12-18,191968.88
1611,03 Servilletas Masivos,2020-04-18,15849.6
1612,02 Rollos de Cocina,2021-06-22,57415.52
1613,04 Pañuelos Masivos,2021-03-23,58.98
1614,05 Pañales Bebe,2020-06-17,40361.11
1615,04 Pañuelos Masivos,2020-09-18,61.55
1616,38 Pañales Adultos,2021-01-04,1022.7
1617,11 Toallas Húmedas,2020-12-08,689.78
1618,01 Mascotas,2021-04-22,5.71
1619,03 Servilletas Masivos,2020-12-06,703.75
1620,03 Servilletas Masivos,2021-06-10,24836.34
1621,10 Toallas Femeninas,2020-03-05,4455.53
1622,11 Toallas Húmedas,2021-06-12,1077.18
1623,02 Rollos de Cocina,2019-10-27,1791.25
1624,38 Pañales Adultos,2021-01-07,1099.44
1625,10 Toallas Femeninas,2020-09-07,5064.14
1626,04 Pañuelos Masivos,2021-03-26,93.41
1627,01 Higiénicos Masivos,2020-02-08,339890.59
1628,05 Pañales Bebe,2020-12-23,38314.49
1629,11 Toallas Húmedas,2019-10-17,564.45
1630,02 Rollos de Cocina,2019-11-02,32520.02
1631,03 Servilletas Masivos,2019-10-15,55196.1
1632,01 Mascarilla ,2021-04-04,0.28
1633,02 Rollos de Cocina,2021-06-25,72507.82
1634,38 Pañales Adultos,2019-11-19,606.03
1635,04 Pañuelos Masivos,2021-03-20,37.54
1636,05 Pañales Bebe,2020-06-20,28678.0
1637,01 Mascotas,2020-10-21,20.44
1638,03 Servilletas Masivos,2020-04-15,19590.89
1639,01 Higiénicos Masivos,2021-04-01,111762.21
1640,11 Toallas Húmedas,2020-12-11,788.31
1641,02 Rollos de Cocina,2020-12-21,113406.78
1642,11 Toallas Húmedas,2020-12-05,772.55
1643,10 Toallas Femeninas,2020-09-10,4449.96
1644,02 Rollos de Cocina,2019-10-30,43459.07
1645,04 Pañuelos Masivos,2020-01-30,152.65
1646,01 Higiénicos Masivos,2020-02-05,320806.41
1647,03 Servilletas Masivos,2021-06-07,19135.34
1648,38 Pañales Adultos,2021-01-10,7.38
1649,11 Toallas Húmedas,2021-06-09,1123.12
1650,10 Toallas Femeninas,2020-09-04,4474.83
1651,01 Mascarilla ,2021-04-07,9.19
1652,11 Toallas Húmedas,2019-10-20,108.49
1653,03 Servilletas Masivos,2019-10-12,45579.83
1654,05 Pañales Bebe,2020-12-20,1717.23
1655,01 Mascotas,2020-10-24,13.5
1656,03 Servilletas Masivos,2020-06-09,28963.05
1657,03 Servilletas Masivos,2020-12-12,22632.43
1658,04 Pañuelos Masivos,2020-03-25,87.22
1659,10 Toallas Femeninas,2019-09-04,3541.91
1660,05 Pañales Bebe,2020-06-23,37878.17
1661,04 Pañuelos Masivos,2020-09-27,2.08
1662,05 Pañales Bebe,2019-12-20,31368.61
1663,10 Toallas Femeninas,2019-09-10,3945.02
1664,02 Rollos de Cocina,2020-12-24,47648.16
1665,01 Higiénicos Masivos,2021-04-04,8731.53
1666,38 Pañales Adultos,2020-09-10,953.83
1667,01 Higiénicos Masivos,2020-09-30,576035.66
1668,11 Toallas Húmedas,2020-08-08,727.29
1669,11 Toallas Húmedas,2021-02-10,1362.59
1670,02 Rollos de Cocina,2020-06-24,87813.34
1671,01 Mascarilla ,2020-12-15,1.25
1672,04 Pañuelos Masivos,2020-03-22,0.05
1673,01 Mascotas,2020-04-24,0.63
1674,10 Toallas Femeninas,2020-03-11,4954.62
1675,03 Servilletas Masivos,2019-10-21,45884.07
1676,38 Pañales Adultos,2021-03-15,557.48
1677,10 Toallas Femeninas,2019-09-07,2937.95
1678,05 Pañales Bebe,2021-02-13,30723.62
1679,38 Pañales Adultos,2021-03-09,793.38
1680,03 Servilletas Masivos,2020-12-09,21419.95
1681,05 Pañales Bebe,2020-06-26,32104.2
1682,10 Toallas Femeninas,2021-04-30,7305.09
1683,01 Mascotas,2021-06-16,21.08
1684,02 Rollos de Cocina,2020-12-27,5636.75
1685,04 Pañuelos Masivos,2020-09-24,84.63
1686,04 Pañuelos Masivos,2020-09-21,91.87
1687,11 Toallas Húmedas,2021-02-13,1129.18
1688,05 Pañales Bebe,2019-12-23,30564.32
1689,01 Higiénicos Masivos,2020-09-27,7844.76
1690,38 Pañales Adultos,2020-09-07,900.68
1691,01 Higiénicos Masivos,2020-10-03,260902.7
1692,03 Servilletas Masivos,2021-06-13,648.83
1693,10 Toallas Femeninas,2021-05-03,3350.38
1694,02 Rollos de Cocina,2020-06-21,19.0
1695,11 Toallas Húmedas,2021-02-07,98.16
1696,38 Pañales Adultos,2021-03-12,618.59
1697,02 Rollos de Cocina,2020-06-27,59103.93
1698,10 Toallas Femeninas,2020-03-08,65.93
1699,01 Mascarilla ,2021-03-09,7.92
1700,10 Toallas Femeninas,2020-08-06,3887.07
1701,04 Pañuelos Masivos,2021-02-25,69.68
1702,02 Rollos de Cocina,2020-11-22,1073.91
1703,38 Pañales Adultos,2021-02-08,776.51
1704,05 Pañales Bebe,2020-05-22,36371.85
1705,01 Higiénicos Masivos,2021-02-25,404745.88
1706,03 Servilletas Masivos,2021-05-12,19223.23
1707,02 Rollos de Cocina,2019-10-01,29161.32
1708,03 Servilletas Masivos,2019-09-13,58637.41
1709,10 Toallas Femeninas,2020-02-02,90.64
