,SKU,Fecha,Cantidad
12192,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2019-09-03,650.0
12206,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-04-29,85.88
12207,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-12-28,5134.0
12208,PH ELITE DH 2 X 10 LA,2019-12-12,48529.2
12209,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-07-20,993.58
12210,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-07-29,2129.0
12211,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-09-04,173.81
12217,RC NOVA DH MEGAROLLO  1 X 12,2021-06-22,44127.69
12218,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-05-31,7582.0
12223,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2019-11-04,24.25
12226,TH TOALLITAS HUMEDAS PREMIUM 184x8,2019-10-19,54.41
12231,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-05-30,1.5
12232,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-05-05,9.67
12239,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-11-28,3549.82
12241,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-08-12,80.09
12246,PH NOBLE DH 24 X 2,2020-10-02,3644.5
12248,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-05-12,356.5
12250,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-03-09,38656.39
12251,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-09-16,905.5
12252,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-10-05,6858.5
12257,PH HIGIENOL DH 4x6 40 METROS,2020-02-08,10400.36
12261,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-12-23,99.75
12265,PH ELITE DH 6 X 8 LA,2019-12-06,10604.57
12266,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-09-12,86.4
12268,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-05-19,459.5
12276,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-05-10,20.6
12279,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-03-09,191.03
12280,PH NOBLE DH 24 X 2,2021-04-03,1890.5
12282,PH ELITE DUO  DH 4x12 25 METROS,2021-03-04,9422.92
12283,SE ELITE CORTADA 1000 X 12,2020-07-21,108.73
12284,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-11-24,3586.67
12287,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2019-12-24,171.25
12292,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-04-04,1472.0
12298,PH ELITE DUO  DH 6 x 8  25 METROS,2020-01-24,15763.44
12299,PH ELITE DH 6 X 8 LA,2020-06-06,11923.5
12302,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2019-12-31,1225.17
12303,PH NOBLE DH 2 X 10,2020-03-30,149085.0
12306,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-09-18,111.54
12310,PH ELITE DUO  DH 6 x 8  25 METROS,2020-07-08,15069.5
12311,PH HIGIENOL DH 4x6 40 METROS,2020-04-14,6030.18
12320,SE ELITE CORTADA 1000 X 12,2020-02-06,117.94
12326,PH ELITE DH 24 X 2 LA,2020-12-24,9009.0
12333,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-03-22,0.63
12337,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-12-07,6080.5
12342,RC NOVA DH MEGAROLLO  2 X 6,2021-01-26,3587.33
12345,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-04-21,563.74
12350,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-06-25,103.28
12353,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-07-04,2369.5
12358,PH HIGIENOL DH 4x6 40 METROS,2021-04-18,250.0
12359,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-09-16,115.5
12363,PH ELITE CLÁSICO DH 2 X 10 CO,2021-02-14,210.0
12364,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-06-17,171.83
12367,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2019-12-02,1803.5
12369,SE ELITE CORTADA 1000 X 12,2021-03-27,72.16
12372,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-09-16,4.33
12378,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-05-30,4764.5
12379,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-05-11,879.46
12383,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-01-14,19316.31
12385,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-06-05,3802.67
12388,PH ELITE DH 6 X 8 LA,2020-08-05,8735.5
12389,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-12-30,122.2
12392,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2019-11-25,1282.5
12395,PH ELITE PLUS DH 24 X 2,2021-01-25,1338.5
12397,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2019-09-20,2235.76
12398,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-08-05,1756.0
12399,PH ELITE DUO  DH 6 x 8  25 METROS,2020-07-11,9501.88
12416,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-06-09,17447.61
12418,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-09-26,116.2
12422,PH ELITE DH 2 X 10 LA,2020-02-22,40239.8
12428,PH ELITE DUO  DH 4x12 25 METROS,2020-09-25,6130.25
12432,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-05-01,8.0
12433,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-04-06,195.44
12436,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-05-11,3279.5
12441,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-10-15,71.0
12443,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-03-28,313.01
12444,PH ELITE DUO  DH 6 x 8  25 METROS,2020-07-02,8801.0
12445,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-04-21,1137.5
12446,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-04-23,1203.0
12448,RC NOVA DH MEGAROLLO  2 X 6,2020-07-15,4327.17
12452,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-03-19,1013.0
12456,PH HIGIENOL DH 4x6 40 METROS,2021-02-28,298.33
12460,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2019-10-22,3202.5
12463,RC NOVA DH MEGAROLLO  2 X 6,2019-11-23,908.02
12466,PH ELITE PLUS DH 24 X 2,2019-12-13,2670.0
12467,PH NOBLE DH 24 X 2,2020-01-15,3448.5
12469,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-01-04,116.14
12471,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-07-18,1920.5
12472,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-02-12,111.52
12475,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2019-11-13,2206.0
12476,PH ELITE DUO  DH 4x12 25 METROS,2019-09-22,1410.33
12479,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-11-11,114.8
12480,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-06-17,5506.0
12483,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-06-23,2.67
12485,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-01-11,4106.5
12486,SE ELITE CORTADA 1000 X 12,2019-11-09,169.08
12487,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-10-14,13823.53
12488,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-03-03,382.82
12490,PH ELITE DH 6 X 8 LA,2020-11-13,5016.03
12497,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-09-18,5880.0
12500,PH ELITE  DH 4 X 12 LA,2021-01-20,11157.53
12503,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-03-06,1008.75
12515,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-08-28,15.5
12517,PH ELITE DUO  DH 6 x 8  25 METROS,2020-07-05,74.0
12524,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-12-14,20718.15
12539,PH NOBLE DH 2 X 10,2020-03-13,311223.3
12541,RC NOVA DH MEGAROLLO  1 X 12,2019-11-16,15847.04
12544,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-05-05,3247.5
12547,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-03-10,639.5
12549,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-04-25,7.0
12550,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-06-15,3363.0
12556, PH ELITE PLUS DH VERTICAL 6 X 8,2020-05-07,214.13
12558,PH ELITE PLUS DH 24 X 2,2020-12-16,2072.5
12561,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-09-01,295.87
12563,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-12-21,1476.76
12569,SE ELITE CORTADA 1000 X 12,2020-07-04,181.42
12572,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-04-15,95.38
12573,RC NOVA DH MEGAROLLO  2 X 6,2020-01-14,1132.19
12578,TH TOALLITAS HUMEDAS PREMIUM 184x8,2019-11-05,23.7
12596,PH ELITE PLUS DH 24 X 2,2020-09-27,54.5
12598,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-04-14,1539.0
12602,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-07-18,952.0
12605,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-07-29,2070.0
12608,PH ELITE DUO  DH 6 x 8  25 METROS,2020-03-15,1652.0
12609,PH ELITE CLÁSICO DH 2 X 10 CO,2020-11-06,4180.0
12610,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-01-09,554.5
12613,PH ELITE DUO  DH 4x12 25 METROS,2021-02-04,5720.96
12614,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-03-01,5.17
12616,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-01-25,7099.0
12622,PH ELITE  DH 4 X 12 LA,2020-09-07,17491.0
12625,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-05-30,97.96
12626,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-06-14,78.07
12629,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-02-08,50.52
12636,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-07-16,895.5
12640,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-05-11,14.4
12647,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-01-21,790.42
12651,PH ELITE CLÁSICO DH 2 X 10 CO,2019-09-18,14465.8
12658,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-04-03,2559.0
12663,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-03-23,577.0
12670,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-10-08,56.02
12671,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-01-14,1751.0
12681,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-05-08,9979.17
12684,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-08-21,175.5
12694,PH ELITE DH 2 X 10 LA,2020-11-08,336.2
12695,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-09-15,12.5
12696,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-03-21,240.5
12715,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-12-13,5737.0
12716,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-03-02,27.2
12719,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-04-18,1.88
12726,RC NOVA DH MEGAROLLO  1 X 12,2020-10-13,41872.05
12729,PH ELITE DUO  DH 4x12 25 METROS,2020-07-01,4583.83
12730,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-05-22,221.56
12731,PH NOBLE DH 2 X 10,2020-01-24,132156.8
12734,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-09-02,56.92
12738,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-01-03,7.33
12746,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-07-29,2.13
12750,PH ELITE DH 6 X 8 LA,2020-02-04,10568.6
12759,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-07-30,2353.0
12761,PH NOBLE DH 2 X 10,2020-09-15,113032.1
12764,PH ELITE PLUS DH 24 X 2,2019-12-04,2259.0
12765,PH ELITE DUO  DH 6 x 8  25 METROS,2019-11-19,7881.81
12768,PH ELITE DH 2 X 10 LA,2019-09-17,51715.9
12769,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2019-09-26,86.55
12772,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-01-27,157.02
12778,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-02-20,2615.0
12784,PH ELITE DH 6 X 8 LA,2020-03-06,9196.88
12786,PH ELITE DH 24 X 2 LA,2020-04-25,10421.5
12788,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2019-12-01,64.5
12789,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-02-05,3848.5
12790,PH ELITE DUO  DH 4x12 25 METROS,2020-05-28,11705.33
12804,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2019-09-25,1325.0
12805,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-04-07,2955.17
12807,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-12-30,928.58
12812,PH ELITE CLÁSICO DH 2 X 10 CO,2019-11-20,12539.3
12813,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2019-09-13,299.0
12814,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-03-28,45.18
12819,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-12-31,826.5
12828,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-11-09,496.5
12829,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-12-07,32.5
12835,PH ELITE DH 6 X 8 LA,2021-04-28,5880.5
12837,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-05-14,3.67
12839,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-09-04,18686.1
12844,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-12-03,86.33
12853,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-04-01,796.0
12856,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-03-27,2.75
12859,RC NOVA DH MEGAROLLO  1 X 12,2021-02-13,36855.52
12862,PH HIGIENOL DH 4x6 40 METROS,2021-01-19,10797.67
12864,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-03-18,648.5
12865,PH NOBLE DH 24 X 2,2020-01-24,2881.0
12868,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-12-11,3001.0
12869,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-09-22,60.11
12874,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-02-15,152.37
12878,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-09-16,76.35
12880,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-09-01,122.75
12883,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-06-08,83.92
12884,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2019-10-13,339.0
12886,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-06-15,12462.91
12890,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-05-02,247.5
12891, PH ELITE PLUS DH VERTICAL 6 X 8,2021-05-11,506.89
12892,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-09-17,707.5
12898,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-01-20,1089.58
12900,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-07-12,162.0
12901,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-05-28,36.55
12902,PH ELITE DH 2 X 10 LA,2021-05-16,201.4
12903,PH ELITE DH 24 X 2 LA,2020-01-27,11474.5
12908,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-02-15,30753.78
12910,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-10-02,189.65
12914,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-09-08,909.0
12915,PH NOBLE DH 24 X 2,2021-03-20,4261.5
12918,PH ELITE DH 6 X 8 LA,2019-11-13,11309.26
12922,PH ELITE DUO  DH 4x12 25 METROS,2020-09-19,5547.92
12923,SE ELITE CORTADA 1000 X 12,2021-01-03,1.08
12927,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-06-08,839.5
12928,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-12-01,440.0
12930,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2019-11-18,97.67
12933,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-10-20,4559.25
12935,RC NOVA DH MEGAROLLO  2 X 6,2021-03-10,2712.5
12937,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-06-11,25931.58
12942,PH ELITE DH 2 X 10 LA,2020-08-14,39440.2
12943,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-01-14,4201.5
12945,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-04-20,5438.5
12951,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-07-20,44.24
12952,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-03-26,142.65
12953,PH HIGIENOL DH  4 X 12,2020-08-24,3417.34
12957,PH NOBLE DH 2 X 10,2020-09-12,154193.0
12960,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-10-19,2845.0
12969,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-03-29,689.05
12970,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-02-24,9.73
12972,PH ELITE DH 24 X 2 LA,2021-03-17,12174.0
12974,RC NOVA DH MEGAROLLO  1 X 12,2021-01-04,27476.06
12975,PH ELITE CLÁSICO DH 2 X 10 CO,2020-06-24,15994.7
12979,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-03-02,262.2
12983,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-11-26,87.2
12988,PH ELITE PLUS DH 24 X 2,2020-12-10,1070.5
12997,PH ELITE DH 6 X 8 LA,2020-05-14,13388.88
12998,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-04-22,1163.5
13000,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-10-22,1360.5
13004,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-04-09,266.53
13005,RC NOVA DH MEGAROLLO  2 X 6,2020-07-21,4309.5
13007,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-07-18,3312.0
13009,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2021-01-11,4540.5
13010,PH ELITE  DH 4 X 12 LA,2020-07-18,15466.39
13013,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-06-15,2921.94
13019,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-02-12,214.66
13024,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-06-25,4.0
13026,PH ELITE DH 24 X 2 LA,2020-01-24,15236.42
13029,PH HIGIENOL DH 4x6 40 METROS,2020-03-02,3753.88
13031,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-03-02,11.8
13035,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-04-05,280.51
13037,PH ELITE PLUS DH 24 X 2,2020-06-13,811.0
13041,PH ELITE PLUS DH 24 X 2,2019-10-22,2927.5
13044,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-09-21,990.03
13049,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-04-18,1067.5
13056,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-08-09,33.5
13060,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-01-11,45.0
13062,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-04-02,46.23
13070,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2019-11-30,1794.5
13073,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-09-04,18.36
13075,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-07-20,7348.5
13079, PH ELITE PLUS DH VERTICAL 6 X 8,2020-10-09,1253.0
13082,PH NOBLE DH 2 X 10,2020-07-20,167130.2
13089,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-01-17,88.67
13092,SE ELITE CORTADA 1000 X 12,2020-10-03,41.25
13094, PH ELITE PLUS DH VERTICAL 6 X 8,2020-02-17,1477.77
13100,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-07-19,12.0
13108,PH ELITE DH 6 X 8 LA,2020-08-19,12680.63
13109,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-06-13,7380.5
13114,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2019-09-27,2691.0
13118,PH ELITE DUO  DH 4x12 25 METROS,2020-12-20,687.0
13123,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-02-17,13434.25
13126,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-06-18,95.0
13135,PH ELITE PLUS DH 24 X 2,2020-02-14,1098.0
13141,RC NOVA DH MEGAROLLO  1 X 12,2021-03-02,43539.56
13142,PH NOBLE DH 24 X 2,2020-05-20,5260.5
13148,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2019-12-28,1218.25
13149,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-05-02,1020.5
13154,SE ELITE CORTADA 1000 X 12,2020-01-17,151.78
13157,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-12-26,8.8
13164,PH ELITE DH 24 X 2 LA,2021-01-13,14243.5
13166,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-05-31,781.63
13172, PH ELITE PLUS DH VERTICAL 6 X 8,2019-11-20,2843.88
13175,PH ELITE CLÁSICO DH 2 X 10 CO,2020-09-01,1757.0
13194,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-10-02,369.18
13197,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-04-11,259.25
13199,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-02-15,58.57
13200,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-11-12,4397.5
13206,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-04-19,614.0
13210,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-03-03,184.34
13217,PH NOBLE DH 2 X 10,2020-01-04,118053.2
13222,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-05-21,23.96
13223,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-12-10,114.81
13224,PH ELITE DUO  DH 6 x 8  25 METROS,2020-12-21,13687.5
13225,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-01-08,91.83
13226,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-04-18,10171.62
13229,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-04-08,212.83
13230,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-02-17,4012.0
13235,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-03-05,661.5
13238,PH HIGIENOL DH  4 X 12,2019-12-22,1548.41
13240,PH NOBLE DH 24 X 2,2020-03-24,3385.5
13241,RC NOVA DH MEGAROLLO  1 X 12,2019-10-30,20312.9
13243,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-09-10,123.4
13253,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-07-15,147.05
13257,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2019-10-10,2959.84
13258,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-03-16,214.61
13259,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2019-11-12,3007.5
13261,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-05-11,261.0
13268,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-01-12,3899.5
13270,PH NOBLE DH 2 X 10,2021-02-28,41190.9
13275,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-08-27,7.0
13278,PH ELITE DH 6 X 8 LA,2020-07-16,7542.38
13281,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-03-22,0.5
13283,PH ELITE  DH 4 X 12 LA,2020-11-18,17079.54
13284,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-06-08,1915.69
13286,PH HIGIENOL DH 4x6 40 METROS,2021-05-08,9555.68
13290,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-06-14,19.0
13294,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-10-06,2890.0
13296,PH HIGIENOL DH 4x6 40 METROS,2020-05-04,5622.09
13300,PH ELITE DUO  DH 4x12 25 METROS,2020-07-18,4333.67
13304,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-07-07,26.83
13306,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-07-30,2.0
13309,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2019-09-15,3.88
13312,PH ELITE PLUS DH 24 X 2,2021-02-14,100.5
13313,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-05-28,89.71
13314,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-05-27,6447.0
13327,PH HIGIENOL DH  4 X 12,2019-12-25,43.08
13331,PH NOBLE DH 24 X 2,2020-08-31,4072.0
13332,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-01-15,22.7
13334,PH ELITE  DH 4 X 12 LA,2020-04-17,23058.9
13335,RC NOVA DH MEGAROLLO  1 X 12,2020-04-07,33860.44
13336,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-02-17,187.5
13342,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2019-12-07,40.73
13345,PH HIGIENOL DH 4x6 40 METROS,2020-10-11,1.33
