,Marca,Fecha,Cantidad
667,036 Ladysoft,2020-02-13,4824.47
668,001 Elite,2020-04-26,27257.0
669,012 Higienol,2020-07-27,19208.07
670,037 Cotidian,2021-01-10,7.38
671,003 Noble,2020-04-29,213763.91
672,001 Elite,2019-10-23,201620.88
673,038 Ok Pet,2021-04-19,6.33
674,038 Ok Pet,2020-03-03,0.83
675,036 Ladysoft,2020-08-17,4258.8
676,006 Nova,2020-10-08,35065.38
677,012 Higienol,2020-08-02,179.0
678,003 Noble,2019-11-01,60385.03
679,008 Babysec,2020-02-23,246.92
680,037 Cotidian,2020-05-20,1049.92
681,001 Elite,2020-10-20,128195.39
682,003 Noble,2020-05-08,180057.79
683,012 Higienol,2020-01-29,18886.47
684,036 Ladysoft,2021-04-06,4984.26
685,038 Ok Pet,2020-10-27,42.29
686,003 Noble,2020-12-26,203725.67
687,006 Nova,2019-10-08,14960.56
688,001 Elite,2019-09-01,729.94
689,008 Babysec,2020-02-20,29641.79
690,008 Babysec,2020-08-24,46115.02
691,036 Ladysoft,2021-04-12,3858.33
692,037 Cotidian,2020-11-19,1019.71
693,036 Ladysoft,2020-02-16,326.03
694,001 Elite,2020-10-26,130177.64
695,003 Noble,2019-11-04,171036.81
696,006 Nova,2020-11-29,12931.17
697,006 Nova,2021-06-03,47097.88
698,037 Cotidian,2020-05-17,182.0
699,038 Ok Pet,2020-04-24,0.63
700,012 Higienol,2020-08-05,21569.14
701,006 Nova,2019-10-05,22924.43
702,003 Noble,2020-12-29,361373.6
703,038 Ok Pet,2020-10-24,13.5
704,006 Nova,2020-04-08,32926.18
705,001 Elite,2020-10-23,178389.29
706,012 Higienol,2020-02-01,10249.08
707,008 Babysec,2020-08-21,46393.25
708,012 Higienol,2021-03-25,16354.24
709,037 Cotidian,2020-11-16,1148.71
710,038 Ok Pet,2021-04-28,2.33
711,008 Babysec,2020-08-27,46353.99
712,008 Babysec,2020-02-17,26867.27
713,006 Nova,2021-05-31,133761.45
714,037 Cotidian,2020-05-14,1258.17
715,006 Nova,2019-10-11,23290.17
716,036 Ladysoft,2021-04-09,4520.01
717,012 Higienol,2020-02-04,14043.57
718,001 Elite,2020-04-20,177370.98
719,003 Noble,2019-11-07,187169.48
720,006 Nova,2020-08-08,60022.59
721,008 Babysec,2020-04-21,39107.25
722,037 Cotidian,2020-07-17,852.78
723,036 Ladysoft,2020-04-08,4374.24
724,001 Elite,2020-06-23,144273.18
725,012 Higienol,2021-03-28,166.33
726,001 Elite,2019-12-20,204322.21
727,006 Nova,2021-03-28,1330.92
728,008 Babysec,2020-04-27,39053.32
729,037 Cotidian,2020-07-23,651.06
730,012 Higienol,2020-02-07,19962.08
731,036 Ladysoft,2020-10-14,4679.29
732,012 Higienol,2020-09-29,15251.34
733,006 Nova,2020-02-07,27024.99
734,012 Higienol,2021-04-03,5939.75
735,038 Ok Pet,2020-04-30,1.08
736,001 Elite,2020-12-26,98412.54
737,008 Babysec,2020-10-24,38210.53
738,036 Ladysoft,2020-10-08,5870.74
739,003 Noble,2020-07-02,193020.11
740,012 Higienol,2021-03-31,22481.12
741,006 Nova,2021-03-31,176335.45
742,036 Ladysoft,2020-04-11,4584.12
743,001 Elite,2020-06-20,125180.38
744,001 Elite,2020-06-26,190999.51
745,003 Noble,2021-01-04,101190.21
746,008 Babysec,2020-04-24,35793.38
747,008 Babysec,2021-06-16,40548.77
748,008 Babysec,2019-10-21,38207.65
749,037 Cotidian,2020-01-16,863.79
750,038 Ok Pet,2021-06-19,7.83
751,006 Nova,2020-02-10,28349.51
752,036 Ladysoft,2021-04-15,4358.39
753,038 Ok Pet,2020-10-30,195.22
754,037 Cotidian,2020-07-20,636.17
755,003 Noble,2020-06-29,227299.96
756,006 Nova,2020-02-04,27626.08
757,036 Ladysoft,2020-10-11,24.6
758,001 Elite,2020-12-23,165958.55
759,012 Higienol,2020-09-26,11637.48
760,038 Ok Pet,2020-04-27,0.38
761,037 Cotidian,2021-01-19,921.63
762,001 Elite,2019-10-29,242958.95
763,006 Nova,2021-04-03,22238.47
764,036 Ladysoft,2019-10-11,3965.56
765,003 Noble,2020-01-04,149860.27
766,001 Elite,2021-06-21,92873.21
767,036 Ladysoft,2020-04-14,5049.67
768,008 Babysec,2019-12-22,7865.74
769,006 Nova,2021-06-11,62554.76
770,038 Ok Pet,2020-08-13,6.79
771,006 Nova,2020-12-07,61294.8
772,001 Elite,2021-01-03,2608.06
773,003 Noble,2020-10-18,3242.53
774,036 Ladysoft,2021-01-27,5129.08
775,012 Higienol,2020-02-15,13421.87
776,008 Babysec,2020-08-10,49805.93
777,038 Ok Pet,2020-08-19,6.44
778,001 Elite,2020-07-01,236701.71
779,003 Noble,2020-02-29,369776.04
780,037 Cotidian,2020-07-28,159.57
781,006 Nova,2020-12-13,2855.92
782,037 Cotidian,2020-07-25,648.01
783,036 Ladysoft,2021-01-30,7200.68
784,036 Ladysoft,2019-12-09,3981.08
785,003 Noble,2021-04-22,215796.61
786,012 Higienol,2021-04-05,13806.17
787,037 Cotidian,2021-01-27,1601.28
788,038 Ok Pet,2021-02-18,4.21
789,001 Elite,2020-12-31,199337.85
790,012 Higienol,2021-04-02,659.92
791,008 Babysec,2021-02-15,31293.22
792,001 Elite,2020-06-28,170.0
793,006 Nova,2020-12-10,58020.58
794,012 Higienol,2020-02-12,18026.33
795,008 Babysec,2020-08-13,38912.25
796,012 Higienol,2020-10-04,217.0
797,036 Ladysoft,2019-12-06,3385.22
798,008 Babysec,2021-02-12,32425.53
799,037 Cotidian,2020-07-22,1027.14
800,006 Nova,2019-10-19,18222.49
801,036 Ladysoft,2019-12-12,4515.63
802,003 Noble,2021-04-19,160327.29
803,012 Higienol,2021-04-08,14711.2
804,003 Noble,2021-04-25,957.0
805,003 Noble,2020-10-24,323037.13
806,008 Babysec,2019-12-16,32834.66
807,001 Elite,2019-11-06,241005.39
808,036 Ladysoft,2020-08-03,4358.23
809,012 Higienol,2020-10-10,13171.74
810,036 Ladysoft,2021-02-05,5144.17
811,037 Cotidian,2019-12-03,464.13
812,003 Noble,2020-04-21,198485.88
813,038 Ok Pet,2020-02-15,1.33
814,012 Higienol,2020-04-07,11789.94
815,037 Cotidian,2019-11-30,1333.88
816,008 Babysec,2021-02-09,32023.14
817,012 Higienol,2021-04-11,31.0
818,003 Noble,2019-09-02,169880.47
819,008 Babysec,2020-06-19,34853.95
820,038 Ok Pet,2020-08-22,0.83
821,006 Nova,2020-06-13,61367.18
822,012 Higienol,2020-10-07,17405.72
823,006 Nova,2019-12-10,27125.13
824,001 Elite,2020-12-28,196053.34
825,037 Cotidian,2021-01-21,1265.2
826,001 Elite,2020-05-07,181165.34
827,037 Cotidian,2021-01-18,739.3
828,008 Babysec,2019-12-19,38409.76
829,006 Nova,2020-06-16,62766.03
830,003 Noble,2020-10-21,197767.81
831,036 Ladysoft,2020-08-06,3884.48
832,036 Ladysoft,2020-07-31,6966.86
833,003 Noble,2020-10-27,306465.46
834,001 Elite,2019-11-03,7656.34
835,036 Ladysoft,2021-02-02,4768.63
836,038 Ok Pet,2020-02-18,0.21
837,006 Nova,2020-06-10,31435.58
838,037 Cotidian,2021-01-24,3.46
839,008 Babysec,2021-02-06,31242.37
840,001 Elite,2020-12-25,910.14
841,036 Ladysoft,2020-08-09,42.5
842,008 Babysec,2021-04-11,1730.5
843,037 Cotidian,2020-09-24,961.19
844,037 Cotidian,2021-03-29,768.99
845,006 Nova,2020-04-07,37927.62
846,001 Elite,2020-01-06,257736.49
847,012 Higienol,2020-04-13,15556.5
848,001 Elite,2020-08-25,189690.26
849,038 Ok Pet,2020-10-13,20.71
850,036 Ladysoft,2021-03-29,5305.12
851,001 Elite,2021-02-27,280136.78
852,008 Babysec,2020-02-18,32089.78
853,003 Noble,2020-04-24,147376.45
854,008 Babysec,2020-10-10,34493.38
855,003 Noble,2020-04-30,261659.36
856,038 Ok Pet,2021-04-20,13.63
857,037 Cotidian,2021-03-23,603.21
858,036 Ladysoft,2020-02-08,4091.72
859,012 Higienol,2021-06-05,12563.37
860,038 Ok Pet,2021-04-14,2.8
861,012 Higienol,2019-10-10,23279.86
862,036 Ladysoft,2020-02-02,90.64
863,006 Nova,2020-04-10,10.0
864,003 Noble,2021-06-16,114913.83
865,012 Higienol,2020-10-13,14670.39
866,006 Nova,2020-10-13,47378.33
867,037 Cotidian,2021-03-26,593.7
868,008 Babysec,2021-04-14,35620.77
869,037 Cotidian,2020-09-21,819.12
870,003 Noble,2020-04-27,207175.41
871,001 Elite,2021-03-02,88722.29
872,038 Ok Pet,2021-04-17,2.65
873,001 Elite,2021-02-24,105991.91
874,012 Higienol,2019-10-07,23287.37
875,012 Higienol,2021-06-02,10111.33
876,003 Noble,2021-06-19,215077.27
877,003 Noble,2019-10-24,309888.87
878,006 Nova,2020-10-10,39871.02
879,036 Ladysoft,2020-02-05,4495.51
880,008 Babysec,2020-08-16,8.0
881,036 Ladysoft,2021-04-04,474.17
882,008 Babysec,2020-02-12,30283.08
883,012 Higienol,2021-06-11,18017.87
884,037 Cotidian,2020-01-30,509.34
885,006 Nova,2019-10-10,23114.03
886,037 Cotidian,2020-01-24,938.9
887,006 Nova,2020-04-13,72098.36
888,038 Ok Pet,2020-10-19,22.81
889,012 Higienol,2020-12-07,13110.74
890,003 Noble,2020-12-18,157626.58
891,006 Nova,2019-10-16,20513.86
892,001 Elite,2019-12-31,234704.34
893,003 Noble,2021-06-22,5023.67
894,006 Nova,2021-06-05,63085.82
895,036 Ladysoft,2020-09-30,9276.24
896,008 Babysec,2020-12-11,34123.57
897,006 Nova,2020-08-06,48379.53
898,008 Babysec,2021-06-15,29399.73
899,001 Elite,2020-06-25,159503.5
900,037 Cotidian,2020-08-11,883.67
901,006 Nova,2021-02-08,62176.07
902,038 Ok Pet,2021-01-29,2.79
903,001 Elite,2019-12-22,32185.14
904,003 Noble,2021-03-30,254836.76
905,037 Cotidian,2020-08-17,927.14
906,036 Ladysoft,2020-06-12,5894.65
907,012 Higienol,2020-05-11,15960.49
908,006 Nova,2020-02-05,26392.68
909,038 Ok Pet,2020-07-27,0.33
910,037 Cotidian,2020-02-13,850.94
911,012 Higienol,2020-05-05,16724.07
912,008 Babysec,2020-12-14,36790.94
913,003 Noble,2020-02-06,231432.44
914,001 Elite,2021-02-15,111229.22
915,038 Ok Pet,2021-01-26,3.21
916,006 Nova,2020-08-09,2919.0
917,008 Babysec,2021-06-18,39593.4
918,006 Nova,2020-08-03,50183.08
919,036 Ladysoft,2020-06-15,5036.33
920,038 Ok Pet,2021-02-01,3.17
921,008 Babysec,2019-10-26,36010.02
922,001 Elite,2019-12-25,1264.07
923,003 Noble,2021-04-02,5598.3
924,036 Ladysoft,2020-12-18,4232.14
925,008 Babysec,2019-10-23,34394.91
926,037 Cotidian,2020-02-10,411.31
927,036 Ladysoft,2020-12-15,4389.78
928,012 Higienol,2019-11-04,17034.98
929,037 Cotidian,2020-08-14,896.65
930,012 Higienol,2020-05-08,14012.12
931,008 Babysec,2020-12-17,35652.87
932,003 Noble,2020-02-09,818.9
933,001 Elite,2021-02-12,136606.7
934,036 Ladysoft,2019-12-15,170.58
935,006 Nova,2021-04-01,16209.72
936,008 Babysec,2020-04-17,49938.16
937,003 Noble,2021-04-05,133432.87
938,008 Babysec,2020-04-23,51509.68
939,036 Ladysoft,2020-06-18,6098.33
940,012 Higienol,2019-11-13,21649.83
941,037 Cotidian,2021-02-07,18.08
942,008 Babysec,2019-10-20,6765.83
943,037 Cotidian,2021-02-13,1059.7
944,006 Nova,2020-02-11,27021.67
945,012 Higienol,2019-11-07,23774.28
946,003 Noble,2020-04-01,130781.61
947,036 Ladysoft,2019-12-21,4011.78
948,001 Elite,2020-06-19,151501.55
949,037 Cotidian,2019-12-20,634.03
950,003 Noble,2020-10-04,2426.97
951,001 Elite,2020-12-22,182539.26
952,037 Cotidian,2021-02-10,1103.41
953,008 Babysec,2020-04-20,31875.95
954,037 Cotidian,2020-08-08,680.85
955,006 Nova,2021-04-04,2253.92
956,003 Noble,2021-04-08,177006.87
957,001 Elite,2020-06-22,144136.6
958,036 Ladysoft,2021-02-08,4827.21
959,008 Babysec,2021-06-12,43634.44
960,008 Babysec,2019-10-17,44317.01
961,001 Elite,2019-12-19,219375.78
962,012 Higienol,2019-11-10,197.0
963,038 Ok Pet,2020-07-30,7.37
964,006 Nova,2020-02-08,29114.12
965,006 Nova,2020-08-12,66062.73
966,001 Elite,2020-06-16,175244.09
967,003 Noble,2020-10-01,142996.95
968,036 Ladysoft,2019-12-18,4894.46
969,012 Higienol,2020-12-29,17775.67
970,036 Ladysoft,2021-02-17,5198.79
971,008 Babysec,2019-12-20,31782.87
972,001 Elite,2020-02-21,175912.43
973,008 Babysec,2020-06-23,38596.31
974,036 Ladysoft,2021-02-11,4589.65
975,003 Noble,2019-10-04,203573.93
976,012 Higienol,2021-01-07,15299.4
977,006 Nova,2020-06-09,38225.88
978,037 Cotidian,2021-04-15,749.38
979,001 Elite,2020-02-18,245131.35
980,003 Noble,2020-04-07,140494.22
981,038 Ok Pet,2021-03-25,2.6
982,037 Cotidian,2020-10-11,3.25
983,006 Nova,2019-12-06,25904.71
984,036 Ladysoft,2020-08-12,5881.29
985,038 Ok Pet,2021-03-31,6.42
986,036 Ladysoft,2021-02-14,250.78
987,003 Noble,2020-04-10,112.9
988,008 Babysec,2019-12-23,31117.4
989,012 Higienol,2020-07-05,47.33
990,008 Babysec,2019-12-17,38117.48
991,001 Elite,2020-08-22,130922.14
992,008 Babysec,2021-02-10,29003.57
993,001 Elite,2020-02-15,174698.87
994,003 Noble,2020-04-04,198907.36
995,006 Nova,2020-06-12,61571.88
996,012 Higienol,2020-07-02,9534.29
997,003 Noble,2021-05-30,3522.67
998,038 Ok Pet,2020-09-23,17.29
999,006 Nova,2019-12-09,18650.25
1000,037 Cotidian,2020-10-08,992.32
1001,012 Higienol,2021-01-04,8508.33
1002,003 Noble,2020-10-07,231712.79
1003,037 Cotidian,2020-10-14,1010.92
1004,001 Elite,2021-02-18,95455.87
1005,012 Higienol,2020-01-04,14343.78
1006,038 Ok Pet,2020-10-02,4.11
1007,012 Higienol,2020-01-10,20632.5
1008,037 Cotidian,2021-04-06,918.89
1009,001 Elite,2020-08-16,1007.0
1010,012 Higienol,2020-07-08,8110.77
1011,003 Noble,2019-10-10,187083.33
1012,006 Nova,2021-02-02,70123.19
1013,008 Babysec,2020-06-17,40950.61
1014,003 Noble,2021-06-02,101945.66
1015,036 Ladysoft,2020-02-14,4889.29
1016,001 Elite,2021-02-21,796.2
1017,008 Babysec,2020-12-20,1795.25
1018,003 Noble,2020-11-28,242427.91
1019,038 Ok Pet,2020-09-26,13.17
1020,006 Nova,2019-12-12,26864.54
1021,036 Ladysoft,2020-08-18,5711.52
1022,003 Noble,2019-10-07,177802.22
1023,038 Ok Pet,2020-09-29,20.69
1024,036 Ladysoft,2020-04-10,13.0
1025,037 Cotidian,2021-04-23,807.95
1026,001 Elite,2020-02-23,2021.2
1027,003 Noble,2021-01-26,217281.0
1028,001 Elite,2020-08-27,132071.37
1029,003 Noble,2020-07-24,189056.7
1030,008 Babysec,2020-10-09,35536.77
1031,038 Ok Pet,2020-05-28,1.88
1032,006 Nova,2020-02-19,25508.84
1033,036 Ladysoft,2019-10-07,3189.88
1034,012 Higienol,2020-07-10,9731.22
1035,038 Ok Pet,2020-05-22,3.29
1036,003 Noble,2019-12-05,172894.1
1037,036 Ladysoft,2021-06-02,3935.51
1038,012 Higienol,2021-01-09,14731.33
1039,008 Babysec,2020-10-12,31708.73
1040,006 Nova,2020-10-11,110.25
1041,037 Cotidian,2020-10-19,809.56
1042,008 Babysec,2020-04-09,4728.48
1043,006 Nova,2021-04-15,55070.42
1044,001 Elite,2020-02-26,192997.55
1045,037 Cotidian,2020-10-16,676.28
1046,036 Ladysoft,2020-04-13,4848.88
1047,012 Higienol,2021-01-15,14818.02
1048,037 Cotidian,2021-04-20,1214.59
1049,003 Noble,2021-01-29,303640.63
1050,037 Cotidian,2020-02-27,470.78
1051,036 Ladysoft,2019-10-10,4671.13
1052,001 Elite,2020-08-30,1178.0
1053,038 Ok Pet,2020-05-25,0.54
1054,003 Noble,2020-07-27,228778.37
1055,012 Higienol,2020-07-13,8200.85
1056,008 Babysec,2020-04-06,33282.61
1057,006 Nova,2021-04-12,51054.6
1058,008 Babysec,2020-10-15,37545.27
1059,012 Higienol,2021-01-12,16289.02
1060,036 Ladysoft,2021-06-05,6098.03
1061,036 Ladysoft,2020-12-01,2782.41
1062,036 Ladysoft,2020-12-04,4043.11
1063,006 Nova,2020-04-11,31195.29
1064,006 Nova,2020-10-14,41079.53
1065,008 Babysec,2021-04-07,42367.5
1066,037 Cotidian,2020-02-24,650.6
1067,003 Noble,2020-08-02,3212.0
1068,008 Babysec,2021-04-13,29520.57
1069,012 Higienol,2020-07-16,10531.71
1070,001 Elite,2020-08-21,156988.22
1071,003 Noble,2021-03-22,193525.96
1072,036 Ladysoft,2019-10-13,98.23
1073,001 Elite,2021-02-23,137795.21
1074,001 Elite,2020-01-02,91762.32
1075,012 Higienol,2020-01-12,889.83
1076,037 Cotidian,2021-04-17,734.66
1077,003 Noble,2020-01-29,175066.2
1078,036 Ladysoft,2021-06-08,4403.11
1079,037 Cotidian,2020-08-25,893.25
1080,006 Nova,2020-10-17,39454.71
1081,037 Cotidian,2020-02-21,643.94
1082,008 Babysec,2021-04-10,45859.17
1083,012 Higienol,2020-01-09,21917.01
1084,036 Ladysoft,2020-12-07,4116.1
1085,036 Ladysoft,2020-06-04,5141.65
1086,008 Babysec,2020-10-06,35085.74
1087,038 Ok Pet,2021-01-18,7.79
1088,001 Elite,2020-08-24,120543.83
1089,006 Nova,2020-04-14,35602.54
1090,003 Noble,2020-07-30,263263.15
1091,038 Ok Pet,2021-01-15,0.46
1092,012 Higienol,2020-01-15,18816.93
1093,037 Cotidian,2021-04-14,798.25
1094,003 Noble,2020-01-26,753.33
1095,001 Elite,2021-02-26,211459.24
1096,036 Ladysoft,2019-10-16,3346.73
1097,036 Ladysoft,2021-06-11,4000.51
1098,006 Nova,2021-04-18,1159.08
1099,001 Elite,2021-04-28,99512.98
1100,008 Babysec,2020-06-06,38623.33
1101,003 Noble,2020-09-23,236488.1
1102,037 Cotidian,2019-10-22,647.54
1103,001 Elite,2020-10-24,136430.56
1104,006 Nova,2021-02-16,56189.64
1105,008 Babysec,2019-10-18,39117.28
1106,008 Babysec,2021-06-13,280.83
1107,036 Ladysoft,2020-12-10,3827.0
1108,012 Higienol,2021-03-11,13195.07
1109,012 Higienol,2020-09-06,179.0
1110,038 Ok Pet,2021-01-21,5.67
1111,003 Noble,2021-03-28,7152.0
1112,037 Cotidian,2020-04-25,592.38
1113,036 Ladysoft,2020-06-10,4388.7
1114,012 Higienol,2020-01-18,17565.24
1115,008 Babysec,2021-06-10,38540.2
1116,001 Elite,2019-09-05,236991.74
1117,036 Ladysoft,2019-12-07,3091.94
1118,008 Babysec,2020-12-06,795.77
1119,006 Nova,2020-08-11,73960.0
1120,037 Cotidian,2021-06-17,920.53
1121,008 Babysec,2020-12-12,38262.46
1122,006 Nova,2021-02-13,42655.17
1123,012 Higienol,2021-03-08,13542.03
1124,003 Noble,2020-02-01,110259.87
1125,037 Cotidian,2019-10-25,3442.83
1126,038 Ok Pet,2020-07-22,4.25
1127,037 Cotidian,2020-04-28,1936.77
1128,012 Higienol,2021-03-14,229.17
1129,003 Noble,2021-03-25,207520.55
1130,006 Nova,2019-12-23,25415.67
1131,037 Cotidian,2020-12-16,1238.69
1132,001 Elite,2019-09-02,190217.35
1133,001 Elite,2020-10-27,153250.55
1134,008 Babysec,2020-12-09,32239.59
1135,037 Cotidian,2021-06-14,2292.65
1136,037 Cotidian,2021-06-20,7.21
1137,001 Elite,2020-04-24,137854.8
1138,006 Nova,2020-08-14,63783.91
1139,008 Babysec,2019-10-12,41566.13
1140,003 Noble,2020-09-29,285099.63
1141,001 Elite,2021-04-22,111904.72
1142,008 Babysec,2021-06-04,30735.51
1143,037 Cotidian,2020-04-22,1189.9
1144,036 Ladysoft,2021-02-03,5640.79
1145,012 Higienol,2020-09-09,10952.74
1146,001 Elite,2021-04-19,110772.6
1147,037 Cotidian,2020-10-25,3.25
1148,006 Nova,2021-04-09,59531.02
1149,006 Nova,2020-02-13,25465.27
1150,001 Elite,2020-03-03,214898.1
1151,012 Higienol,2020-09-15,16611.91
1152,008 Babysec,2020-02-29,37822.03
1153,037 Cotidian,2020-05-26,887.55
1154,036 Ladysoft,2020-09-26,3875.95
1155,001 Elite,2019-09-07,212848.87
1156,037 Cotidian,2019-10-07,1471.04
1157,006 Nova,2019-09-26,22863.42
1158,036 Ladysoft,2021-03-31,9061.63
1159,003 Noble,2020-12-20,5098.57
1160,038 Ok Pet,2020-10-15,6.67
1161,001 Elite,2020-11-01,2565.07
1162,008 Babysec,2021-03-04,29452.71
1163,037 Cotidian,2021-05-30,11.67
1164,008 Babysec,2020-08-30,354.0
1165,001 Elite,2021-05-06,104101.91
1166,037 Cotidian,2020-11-25,953.52
1167,006 Nova,2020-11-17,58017.01
1168,012 Higienol,2020-01-26,1200.5
1169,037 Cotidian,2019-10-04,730.56
1170,036 Ladysoft,2021-04-03,2043.47
1171,006 Nova,2021-05-22,68898.59
1172,003 Noble,2020-12-14,197978.22
1173,001 Elite,2021-05-03,63242.71
1174,001 Elite,2019-09-10,285121.21
1175,006 Nova,2019-09-29,478.25
1176,012 Higienol,2021-03-16,11851.11
1177,012 Higienol,2021-03-19,14332.96
1178,003 Noble,2020-12-17,178894.61
1179,001 Elite,2020-10-29,177411.74
1180,008 Babysec,2021-03-07,1054.71
1181,006 Nova,2021-05-25,69238.23
1182,038 Ok Pet,2021-06-07,2.8
1183,008 Babysec,2020-09-02,41290.22
1184,036 Ladysoft,2020-02-07,4663.64
1185,003 Noble,2021-06-21,165512.46
1186,037 Cotidian,2020-11-28,1838.56
1187,036 Ladysoft,2020-09-29,4661.66
1188,003 Noble,2019-10-26,201719.9
1189,006 Nova,2020-11-20,41452.22
1190,012 Higienol,2020-01-23,14878.46
1191,003 Noble,2020-06-23,186809.04
1192,037 Cotidian,2019-10-01,441.09
1193,036 Ladysoft,2019-09-29,229.82
1194,003 Noble,2020-06-17,202009.73
1195,038 Ok Pet,2021-06-10,31.88
1196,012 Higienol,2021-03-22,12637.28
1197,001 Elite,2021-04-30,325718.93
1198,008 Babysec,2021-02-26,58963.15
1199,037 Cotidian,2021-05-24,856.81
1200,001 Elite,2020-03-11,235125.44
1201,036 Ladysoft,2020-03-30,4736.76
1202,006 Nova,2020-05-21,27070.18
1203,008 Babysec,2020-01-08,55622.77
1204,037 Cotidian,2020-04-04,681.26
1205,036 Ladysoft,2020-10-02,3883.93
1206,012 Higienol,2020-09-17,13424.6
1207,006 Nova,2020-11-23,50284.09
1208,001 Elite,2020-03-05,202258.03
1209,003 Noble,2019-12-17,227173.87
1210,006 Nova,2019-11-20,30100.98
1211,038 Ok Pet,2020-12-09,14.21
1212,012 Higienol,2020-09-20,343.83
1213,012 Higienol,2020-03-18,11148.7
1214,006 Nova,2020-05-24,400.0
1215,037 Cotidian,2019-09-28,973.45
1216,003 Noble,2020-06-20,167906.43
1217,008 Babysec,2021-03-01,17885.01
1218,037 Cotidian,2021-05-27,732.18
1219,003 Noble,2020-12-23,219903.1
1220,001 Elite,2021-04-27,115586.54
1221,001 Elite,2020-03-08,3491.97
1222,001 Elite,2019-09-04,231290.41
1223,036 Ladysoft,2020-04-02,5698.36
1224,037 Cotidian,2020-11-22,4.75
1225,012 Higienol,2020-09-14,12329.84
1226,006 Nova,2020-11-26,47313.12
1227,003 Noble,2019-12-20,206008.37
1228,036 Ladysoft,2020-10-05,4495.56
1229,037 Cotidian,2020-04-01,545.88
1230,008 Babysec,2020-01-05,610.78
1231,036 Ladysoft,2019-10-05,3391.84
1232,006 Nova,2020-09-23,55705.51
1233,003 Noble,2021-02-16,101268.71
1234,001 Elite,2020-05-08,160515.57
1235,038 Ok Pet,2021-06-16,21.08
1236,008 Babysec,2021-05-04,23013.81
1237,038 Ok Pet,2020-12-12,14.98
1238,012 Higienol,2021-05-13,9456.38
1239,008 Babysec,2019-09-11,36618.92
1240,001 Elite,2019-11-04,200121.09
1241,036 Ladysoft,2021-05-31,6217.8
1242,001 Elite,2019-11-10,2171.78
1243,008 Babysec,2019-09-08,411.17
1244,036 Ladysoft,2020-04-05,100.25
1245,037 Cotidian,2021-01-25,1471.33
1246,003 Noble,2019-12-23,221620.67
1247,012 Higienol,2020-03-21,7544.96
1248,008 Babysec,2020-10-30,52472.51
1249,036 Ladysoft,2020-11-26,6885.23
1250,038 Ok Pet,2020-06-12,1.63
1251,012 Higienol,2020-09-23,10873.32
1252,006 Nova,2020-03-21,13025.84
1253,001 Elite,2020-12-29,191896.13
1254,003 Noble,2020-06-26,174652.89
1255,006 Nova,2020-09-20,1227.33
1256,006 Nova,2020-09-26,44307.1
1257,008 Babysec,2021-05-01,279.5
1258,012 Higienol,2021-05-16,234.5
1259,038 Ok Pet,2020-12-15,30.83
1260,036 Ladysoft,2021-05-25,4321.32
1261,008 Babysec,2020-03-09,26362.91
1262,001 Elite,2019-11-07,240096.36
1263,001 Elite,2020-05-11,212043.59
1264,037 Cotidian,2019-12-04,762.33
1265,003 Noble,2021-02-13,135158.97
1266,036 Ladysoft,2019-10-02,2853.29
1267,008 Babysec,2019-09-05,38280.29
1268,006 Nova,2021-03-25,70378.3
1269,037 Cotidian,2019-12-01,1.46
1270,012 Higienol,2019-09-20,20604.8
1271,003 Noble,2019-12-26,254774.53
1272,036 Ladysoft,2021-05-28,4768.63
1273,012 Higienol,2020-03-24,8581.9
1274,038 Ok Pet,2020-06-09,3.83
1275,037 Cotidian,2021-01-22,867.56
1276,008 Babysec,2020-10-27,52753.16
1277,036 Ladysoft,2020-05-30,5499.77
1278,006 Nova,2021-05-19,51400.22
1279,036 Ladysoft,2020-12-02,4720.04
1280,037 Cotidian,2021-05-16,3.33
1281,001 Elite,2020-01-31,268121.02
1282,012 Higienol,2019-12-14,14841.79
1283,036 Ladysoft,2020-11-05,4915.25
1284,008 Babysec,2019-09-13,41046.53
1285,012 Higienol,2021-02-04,19309.23
1286,006 Nova,2020-09-15,93896.63
1287,008 Babysec,2020-03-17,26910.46
1288,001 Elite,2021-03-24,141489.14
1289,036 Ladysoft,2021-05-10,5500.84
1290,003 Noble,2019-12-31,213598.39
1291,038 Ok Pet,2020-12-17,23.42
1292,006 Nova,2020-03-13,77738.8
1293,008 Babysec,2021-05-06,30290.85
1294,036 Ladysoft,2019-09-14,3222.96
1295,008 Babysec,2021-05-12,22335.25
1296,012 Higienol,2020-06-17,13751.8
1297,037 Cotidian,2020-09-23,769.22
1298,006 Nova,2020-03-16,43915.58
1299,001 Elite,2020-02-03,208738.58
1300,036 Ladysoft,2020-05-06,4719.57
1301,012 Higienol,2019-12-11,20715.26
1302,036 Ladysoft,2020-11-08,276.79
1303,037 Cotidian,2020-03-21,403.12
1304,008 Babysec,2019-09-16,44573.56
1305,012 Higienol,2019-12-17,17783.93
1306,003 Noble,2021-02-21,1470.4
1307,006 Nova,2020-09-18,65862.25
1308,008 Babysec,2019-09-10,32646.11
1309,038 Ok Pet,2021-06-21,0.25
1310,037 Cotidian,2019-09-20,967.96
1311,003 Noble,2019-12-28,354182.13
1312,008 Babysec,2020-11-04,27783.31
1313,008 Babysec,2021-05-09,388.01
1314,037 Cotidian,2020-03-24,510.32
1315,001 Elite,2020-09-22,125741.74
1316,001 Elite,2021-03-27,111483.27
1317,038 Ok Pet,2020-06-17,2.38
1318,003 Noble,2020-07-01,279696.48
1319,036 Ladysoft,2020-11-11,5171.0
