,SKU,Fecha,Soles
3305,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-03-10,13346.94
3307,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2019-11-06,206589.44
3308,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-07-03,508.04
3309,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-02-11,325936.54
3310,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-04-24,103669.43
3311,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-07-20,12194.24
3312,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-03-02,6342.45
3313,PH HIGIENOL DH 4x6 40 METROS,2019-09-09,167487.88
3314, PH ELITE PLUS DH VERTICAL 6 X 8,2020-07-15,43673.58
3315,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-01-12,47751.84
3316,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2019-10-20,362.6
3319,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-01-07,5302.72
3321,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2019-10-20,132948.9
3323,PH ELITE PLUS DH 24 X 2,2021-02-23,62189.68
3325,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-10-16,10602.31
3327,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-06-09,338145.78
3339,PH HIGIENOL DH 4x6 40 METROS,2020-06-27,53123.62
3340,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-06-27,174150.1
3343,PH ELITE CLÁSICO DH 2 X 10 CO,2020-06-16,51053.09
3350,PH ELITE PLUS DH 24 X 2,2020-05-07,30646.91
3351,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-06-08,9769.61
3357,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-04-21,889.11
3358,PH ELITE DH 2 X 10 LA,2020-08-06,451406.56
3360,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-03-15,17925.85
3364,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-01-16,6634.31
3367,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-06-23,209716.12
3380, PH ELITE PLUS DH VERTICAL 6 X 8,2021-05-26,14495.68
3382,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2019-11-03,2871.15
3384,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-10-23,2599.64
3387,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-08-29,145815.35
3392,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-08-07,6680.47
3393,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-03-18,133218.56
3396,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-04-06,462.57
3403,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-10-02,13748.11
3409,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-10-06,238202.45
3410,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-04-08,2272.13
3412,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-04-28,40594.84
3414,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2019-10-21,14123.57
3415,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-05-24,71885.89
3420,PH ELITE DH 24 X 2 LA,2019-10-02,317531.87
3421,PH ELITE DUO  DH 4x12 25 METROS,2019-11-01,54144.68
3426,SE ELITE CORTADA 1000 X 12,2020-04-03,1223.83
3427,RC NOVA DH MEGAROLLO  2 X 6,2021-02-23,69931.75
3435,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2019-12-29,278.55
3436,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-03-01,112637.53
3445,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-12-13,1707.12
3455,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-03-27,12874.17
3458,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-02-18,2871.14
3461,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-09-14,55119.32
3466,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-02-06,257347.44
3470,PH ELITE DUO  DH 6 x 8  25 METROS,2019-12-26,239466.54
3472, PH ELITE PLUS DH VERTICAL 6 X 8,2020-12-31,40676.82
3473,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-01-31,210.34
3477,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-06-17,61008.48
3478,PH HIGIENOL DH 4x6 40 METROS,2020-01-10,184517.51
3480,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-03-08,600.25
3487,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-10-15,60088.11
3490,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-01-16,20253.52
3492,PH ELITE DUO  DH 4x12 25 METROS,2020-02-09,200.08
3493,PH ELITE DH 24 X 2 LA,2020-02-02,3824.76
3499,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2019-10-01,370289.35
3502,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-01-29,9524.31
3503,PH ELITE PLUS DH 24 X 2,2021-06-26,15660.85
3506,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-12-19,4551.09
3508,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-03-05,264073.35
3512,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-04-10,195.04
3515,PH NOBLE DH 24 X 2,2021-03-05,73889.83
3520,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-02-08,8468.3
3524,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-04-07,23751.45
3526,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2019-10-06,1234.32
3528,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-10-28,329256.86
3531,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-05-26,7308.89
3535,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-01-11,194765.29
3537,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-02-13,3171.65
3541,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-03-19,7423.83
3543,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-02-11,13992.19
3544,SE ELITE CORTADA 1000 X 12,2020-06-05,545.11
3546,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-01-20,228423.35
3552,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-02-18,53036.0
3553,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-04-23,503.25
3554,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-07-30,640.81
3555,PH NOBLE DH 24 X 2,2021-02-16,78846.77
3558,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-08-21,5321.49
3560,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-01-04,5355.13
3565,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-10-08,243224.74
3570,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-06-13,12668.56
3571,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-11-16,56682.04
3575,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-06-15,185.8
3581,RC NOVA DH MEGAROLLO  1 X 12,2020-12-09,1127575.0
3582,PH ELITE  DH 4 X 12 LA,2020-12-22,440377.11
3583,PH HIGIENOL DH  4 X 12,2020-01-25,256796.98
3587,PH ELITE DH 2 X 10 LA,2020-09-15,667104.12
3590,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-07-18,8015.17
3591,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-01-19,97512.47
3598,PH HIGIENOL DH 4x6 40 METROS,2020-08-03,229320.52
3600,PH NOBLE DH 24 X 2,2019-12-26,50572.84
3601,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-08-06,48960.43
3604,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-07-13,4406.13
3605,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-01-14,511.64
3606,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-07-31,30918.0
3608,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-09-27,5660.34
3610,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2019-09-26,131800.8
3614,RC NOVA DH MEGAROLLO  2 X 6,2021-02-09,125119.53
3615,PH ELITE DH 6 X 8 LA,2021-06-10,119963.38
3616,PH ELITE DH 6 X 8 LA,2020-04-18,279091.8
3617,PH ELITE DUO  DH 6 x 8  25 METROS,2021-01-27,1026649.66
3623,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-05-18,176028.2
3624,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-12-10,6078.9
3627,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-09-25,36742.31
3631,PH ELITE DUO  DH 4x12 25 METROS,2020-10-21,158339.52
3637,PH ELITE DH 2 X 10 LA,2021-06-11,375016.89
3640,PH ELITE DUO  DH 6 x 8  25 METROS,2020-06-06,256044.92
3641,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-09-03,8598.13
3642,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-11-12,274883.08
3652,PH ELITE DH 2 X 10 LA,2020-05-12,757612.74
3654,TH TOALLITAS HUMEDAS PREMIUM 184x8,2019-10-27,15.85
3655,PH NOBLE DH 2 X 10,2021-03-23,586460.56
3657,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-03-14,8045.8
3659,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-12-13,4018.78
3665,PH ELITE  DH 4 X 12 LA,2021-04-24,417092.28
3667,PH ELITE DUO  DH 6 x 8  25 METROS,2019-11-16,251513.2
3670, PH ELITE PLUS DH VERTICAL 6 X 8,2021-02-09,115783.07
3671,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-01-26,6055.61
3674,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-06-07,518.64
3675,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-11-29,1602.62
3683,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-01-06,6602.43
3684,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-03-09,4127.23
3686,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-12-28,271018.74
3690,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-02-04,47061.76
3702,PH ELITE DH 24 X 2 LA,2020-12-27,12151.74
3703,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-07-26,8007.63
3705,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-03-17,6835.66
3707,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-02-10,7921.54
3709,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-05-06,8204.3
3711,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-12-21,3868.54
3713,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-06-02,158909.2
3718,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-06-20,3824.15
3720,PH ELITE PLUS DH 24 X 2,2020-08-01,64823.64
3722,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-05-27,41362.56
3726,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-08-23,20.74
3736,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2019-11-13,426554.97
3742,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-11-15,529.64
3744,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-12-07,4389.17
3745,RC NOVA DH MEGAROLLO  2 X 6,2019-11-26,15499.98
3746,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-08-05,49386.79
3748,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-05-14,30691.97
3749,PH ELITE  DH 4 X 12 LA,2021-04-27,438410.17
3752,PH ELITE CLÁSICO DH 2 X 10 CO,2020-08-15,21234.56
3753,PH NOBLE DH 2 X 10,2021-03-26,786700.76
3771,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-12-09,4276.04
3772,PH NOBLE DH 2 X 10,2021-03-09,544928.31
3774,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-01-30,11620.16
3783,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-03-26,290787.99
3784,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-02-05,47138.25
3788,PH HIGIENOL DH 4x6 40 METROS,2021-05-22,149040.99
3789,PH ELITE DH 24 X 2 LA,2020-11-17,369740.61
3795,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-11-29,47384.38
3807,PH HIGIENOL DH  4 X 12,2020-12-02,97351.72
3810,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-12-13,85961.62
3816,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2019-09-24,270009.56
3824,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-08-10,3031.57
3825,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2019-11-27,104515.21
3827,PH HIGIENOL DH 4x6 40 METROS,2019-09-26,136988.23
3832,PH ELITE  DH 4 X 12 LA,2021-03-18,281643.97
3833,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-04-17,10429.62
3834,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-01-19,355955.37
3835,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-11-20,2015.17
3843,PH NOBLE DH 2 X 10,2020-07-17,1206019.73
3847,PH ELITE CLÁSICO DH 2 X 10 CO,2020-09-24,35552.81
3848,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-01-14,487.8
3849,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-03-30,4816.03
3856,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-08-28,33343.46
3863,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-07-22,88380.5
3864,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-04-12,89795.58
3868,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-03-19,3257.31
3871,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-06-17,463979.93
3872,PH ELITE DH 2 X 10 LA,2019-09-29,3845.13
3877,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-04-06,22183.23
3878,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2019-09-06,9567.66
3879,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-02-04,42571.8
3884,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2019-12-10,2760.37
3885,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-11-25,194891.05
3886,PH ELITE  DH 4 X 12 LA,2020-04-14,813081.11
3895,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-04-22,1257.68
3897,PH ELITE DUO  DH 6 x 8  25 METROS,2020-11-25,1505982.89
3898,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-11-03,49.01
3900,PH ELITE PLUS DH 24 X 2,2021-03-15,36397.89
3903,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-10-22,572178.17
3905,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-05-16,240581.02
3906,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-06-05,138577.89
3909,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-11-24,7.63
3910,PH ELITE PLUS DH 24 X 2,2020-01-25,46894.81
3914,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-03-21,1712.97
3919,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-02-16,63.56
3923,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-06-03,24761.37
3925,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-08-05,494.13
3933,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-04-15,17505.55
3942,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-01-29,63121.2
3956,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-01-13,70746.1
3962,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-01-16,107045.35
3964,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-11-06,15681.25
3965,PH NOBLE DH 24 X 2,2020-02-27,27288.71
3967,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-12-05,99135.68
3968,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2019-10-22,5516.98
3972,PH ELITE CLÁSICO DH 2 X 10 CO,2020-05-07,86717.48
3973,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-05-07,305295.77
3975,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2019-12-01,428.47
3977,PH HIGIENOL DH  4 X 12,2020-10-23,109230.9
3978,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-01-31,503.05
3984,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-02-19,8440.26
3985,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-04-24,89320.22
3992,RC NOVA DH MEGAROLLO  1 X 12,2019-11-30,394971.26
3994,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-09-22,9.92
3995,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-06-09,17522.48
3996,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-03-11,155581.19
3998,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2019-10-08,4894.6
4000,PH ELITE  DH 4 X 12 LA,2020-06-16,523789.88
4002,PH ELITE DUO  DH 6 x 8  25 METROS,2020-09-23,392298.91
4005,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-12-10,21668.13
4006,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-05-05,46568.12
4011,PH ELITE PLUS DH 24 X 2,2019-09-21,29347.17
4012,PH ELITE DH 6 X 8 LA,2020-03-26,164549.76
4016,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-02-28,5406.24
4021,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-12-23,2403.11
4022,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-02-20,180700.79
4028,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-10-14,13247.57
4029,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-11-19,150707.13
4030,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-06-03,1223.46
4036,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-06-03,212.12
4039,PH ELITE CLÁSICO DH 2 X 10 CO,2021-06-26,13849.86
4040,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-12-04,11801.94
4045,PH ELITE CLÁSICO DH 2 X 10 CO,2019-10-31,170747.43
4048,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-09-24,317212.38
4053,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-03-31,561447.97
4058,PH NOBLE DH 24 X 2,2020-07-02,123443.87
4065,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-04-10,295141.29
4070,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-01-10,154679.57
4072,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-03-16,57508.81
4078,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-02-24,440730.03
4079,PH ELITE PLUS DH 24 X 2,2021-05-17,33738.9
4086,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-05-08,14344.3
4087,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-04-03,1892.97
4089,RC NOVA DH MEGAROLLO  2 X 6,2020-03-08,1116.16
4090,PH NOBLE DH 2 X 10,2021-01-05,760187.69
4094,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-11-10,35979.12
4096,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2019-09-15,32.71
4098,PH ELITE DUO  DH 4x12 25 METROS,2021-06-07,121103.94
4100,PH ELITE DUO  DH 6 x 8  25 METROS,2020-08-31,982747.7
4103,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-02-23,20825.48
4106,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-04-12,97320.0
4109,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-06-08,26247.95
4110,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-02-01,233547.31
4113,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-11-27,3216.22
4114,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-05-07,882.06
4117,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-06-15,7327.55
4122,SE ELITE CORTADA 1000 X 12,2019-10-20,11.27
4129,PH ELITE DUO  DH 4x12 25 METROS,2019-10-12,189757.28
4130,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2019-11-08,7556.28
4133,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-09-01,1739.15
4137,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-05-21,44506.13
4139,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-03-19,3123.59
4142,PH NOBLE DH 24 X 2,2019-12-03,45330.17
4143,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-04-23,339685.57
4144,PH ELITE DH 2 X 10 LA,2021-05-25,725533.21
4147,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-03-18,378387.09
4152,PH NOBLE DH 24 X 2,2020-07-25,80046.1
4153,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-02-02,2945.95
4158,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-10-30,37164.84
4160,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-04-08,72241.82
4161,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-11-03,5909.94
4163,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-03-23,346536.04
4170,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-04-21,1156.27
4172,SE ELITE CORTADA 1000 X 12,2021-06-15,9327.6
4173,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-09-23,149715.29
4175,PH ELITE DUO  DH 6 x 8  25 METROS,2020-02-24,330163.7
4176,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-03-14,139873.83
4182,PH ELITE  DH 4 X 12 LA,2021-01-14,396372.25
4183,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-10-07,10611.19
4186,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-05-12,24039.09
4187,PH HIGIENOL DH  4 X 12,2019-09-21,240630.94
4189,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-11-17,19640.2
4194,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2019-09-09,5520.5
4196,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-12-16,6528.51
4199,PH ELITE DH 2 X 10 LA,2021-02-28,23525.44
4203,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-04-03,169127.0
4204,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-02-11,135.42
4205,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-08-21,46938.38
4209,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-04-04,996.01
4210,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-10-15,543.66
4212,PH ELITE PLUS DH 24 X 2,2021-04-24,71820.57
4215,RC NOVA DH MEGAROLLO  1 X 12,2021-03-22,716193.29
4217,PH ELITE DUO  DH 6 x 8  25 METROS,2021-04-14,754926.45
4219,PH ELITE DH 2 X 10 LA,2019-12-01,2897.89
4228,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-01-13,122144.78
4230,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-08-05,41941.1
4231,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-01-10,2784.38
4234,PH HIGIENOL DH  4 X 12,2020-11-09,106761.36
4238,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-05-15,10583.36
4240,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-12-27,32301.09
4242,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2019-09-06,152133.96
4243,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-03-31,281576.65
4246,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-10-03,6015.67
4247,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2019-11-07,49484.97
4250,PH HIGIENOL DH 4x6 40 METROS,2019-10-19,159508.03
4258,PH NOBLE DH 24 X 2,2020-04-30,120218.3
4260,PH ELITE DUO  DH 4x12 25 METROS,2020-07-04,190151.2
4261,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-01-28,285764.77
4264,PH ELITE DH 2 X 10 LA,2020-12-04,811059.29
4267,PH HIGIENOL DH 4x6 40 METROS,2021-06-14,248341.15
4271,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-03-03,81312.0
4272,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-05-02,25.17
4278,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-03-25,230417.11
4280,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-05-29,9680.25
4285,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-07-09,299803.92
4288,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2019-12-02,2475.48
4294,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-03-15,5020.7
4296,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-11-26,290974.32
4298,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-03-06,1707.44
4302,SE ELITE CORTADA 1000 X 12,2020-10-29,5382.76
4305,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-03-31,55441.15
4310,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-04-28,11912.1
4313,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-05-24,8091.07
4315, PH ELITE PLUS DH VERTICAL 6 X 8,2020-03-08,635.03
