,Distribuidor,Fecha,Soles
2528,TAMBOS AQP,2019-10-17,59337.9
2529,CASA GRANDE,2019-10-18,282171.07
2530,ESTILOS,2019-10-18,15721.74
2531,EUROVA,2019-10-18,299466.62
2532,LA GENOVESA - TACNA,2019-10-18,20183.0
2533,P&PJ CHINCHA,2019-10-18,49603.54
2534,CHUPACA BUSINESS,2019-10-19,34351.58
2535,MYG,2019-10-19,11222.7
2536,DIJISA - AYACUCHO,2019-10-21,12760.64
2537,ESTILOS,2019-10-21,9031.16
2538,JRC - NAZCA,2019-10-21,7868.56
2540,PATITA SAC,2019-10-21,51734.31
2541,SIPAN - Y,2019-10-21,224186.46
2542,TCA SAC,2019-10-21,48097.01
2543,DIJISA - AYACUCHO,2019-10-22,7612.77
2544,LANCERO - PUCALLPA,2019-10-22,13663.59
2545,MYL_HERMANOS,2019-10-22,319700.52
2547,SIPAN - Y,2019-10-22,287755.58
2548,CALLAYUC,2019-10-23,128219.19
2549,JRC - ICA,2019-10-23,48428.94
2550,VEGA - SUR,2019-10-23,17699.08
2551,AGA - JAEN,2019-10-24,49405.59
2553,LIDER - TRUJILLO,2019-10-24,3207.64
2555,TEMMY,2019-10-24,48144.64
2556,5M DISTRIBUCIONES,2019-10-25,43057.71
2557,ALMACENES_SEVILLANO,2019-10-25,16720.13
2560,ECONOMYSA,2019-10-25,136388.84
2561,RODAMEOS,2019-10-25,90065.17
2562,VEGA - ESTE,2019-10-25,33635.21
2563,CALLAYUC,2019-10-26,128012.87
2564,LAGUI,2019-10-26,316638.31
2565,RODAMEOS,2019-10-26,80319.07
2566,URBANO,2019-10-26,53158.31
2567,DISTRIBUIDORA CCM,2019-10-28,515687.37
2568,DYCART,2019-10-28,216741.85
2569,LA GENOVESA - ILO,2019-10-28,239.19
2570,LANCERO - HUANUCO,2019-10-28,5188.34
2574,CODIFER,2019-10-29,26582.17
2575,DICOBELSA - LIMA,2019-10-29,51532.26
2576,GUMISA - HUARAZ,2019-10-29,104208.55
2577,LA GENOVESA - ILO,2019-10-29,1166.06
2579,AGA - MOYOBAMBA,2019-10-05,13831.85
2580,CHUPACA BUSINESS,2019-10-05,69123.6
2581,CORPORACION_VEGA,2019-10-05,46220.35
2582,FERROL,2019-10-05,51360.97
2583,LIDER - TRUJILLO,2019-10-05,9113.77
2584,TEMMY,2019-10-05,34288.62
2585,LIDER - TRUJILLO,2019-10-06,152.0
2586,5M DISTRIBUCIONES,2019-10-07,21407.2
2587,CURTIS NORTE,2019-10-07,4558.37
2590,ECONOMYSA,2019-10-07,35203.16
2591,LANCERO - PUCALLPA,2019-10-07,19915.53
2592,VEGA - ESTE,2019-10-07,35807.09
2593,DIPSA-AYACUCHO,2019-10-08,122581.29
2594,JRC - ICA,2019-10-08,44082.77
2595,VEGA - SUR,2019-10-08,32840.43
2596,CODIJISA - CHIMBOTE,2019-10-09,36395.14
2597,DIPSA-AYACUCHO,2019-10-09,166273.43
2598,DISTRIBUIDORA CCM,2019-10-09,646210.93
2599,DYCART,2019-10-09,3305.12
2600,JRC - ICA,2019-10-09,46897.49
2601,LANCERO - HUANUCO,2019-10-09,7884.65
2602,LYG-CD_SAC,2019-10-09,236146.89
2603,VEGA - SUR,2019-10-09,23549.68
2604,DIPSA-ABANCAY,2019-10-10,8852.2
2605,DISTRIBUIDORA CCM,2019-10-10,1053435.0
2606,DYCART,2019-10-10,11000.83
2607,ECONOMYSA,2019-10-10,47283.52
2608,LANCERO - HUANUCO,2019-10-10,2066.93
2609,SAUL,2019-10-10,64653.13
2610,SODALES,2019-10-10,80853.82
2611,DIJISA - HUANCAYO,2019-10-11,17760.62
2612,DIPSA-ANDAHUAYLAS,2019-10-11,84890.26
2613,EDUSA,2019-10-11,37865.6
2614,LAGUI,2019-10-11,31839.41
2615,RODAMEOS,2019-10-11,68966.53
2616,SAUL,2019-10-11,68905.66
2617,URBANO,2019-10-11,55471.07
2618,ARCANGEL,2019-10-12,84499.77
2619,CODIJISA - TRUJILLO,2019-10-12,25780.58
2620,DIPSA-ANDAHUAYLAS,2019-10-12,52296.23
2621,LAGUI,2019-10-12,7267.03
2622,MELVIN MICHEL AL,2019-10-13,154128.81
2624,DIJISA - LIMA,2019-10-14,19695.21
2625,EDUFARMA MERCADO,2019-10-14,102188.97
2626,LA GENOVESA - ILO,2019-10-14,4498.84
2627,SAN JUAN,2019-10-14,55126.06
2628,TAMBOS LIMA,2019-10-14,190164.98
2630,CODIJISA - PIURA,2019-10-15,205667.88
2631,CURTIS ESTE,2019-10-15,16223.58
2632,DIJISA - ICA,2019-10-15,11599.52
2633,DROGUERIA SAN MARTIN,2019-10-15,35491.9
2634,MARRACHE,2019-10-15,83738.66
2635,TAMBOS LIMA,2019-10-15,174362.41
2636,AGA - TARAPOTO,2019-10-16,27247.11
2637,DIJISA - ICA,2019-10-16,19186.27
2638,DISART,2019-10-16,226556.99
2639,DROGUERIA SAN MARTIN,2019-10-16,37996.5
2641,AGA - TARAPOTO,2019-10-17,37750.28
2642,CASA GRANDE,2019-10-17,425765.92
2644,DIJISA - LIMA,2019-10-17,18031.63
2645,LA GENOVESA - TACNA,2019-10-17,19131.05
2646,LIDER - CHEPEN,2019-10-17,4580.21
2647,SAN JUAN,2019-10-17,64563.58
2648,TAYMI,2019-10-17,405387.51
2650,CODIJISA - PIURA,2019-10-18,114756.07
2651,CURTIS ESTE,2019-10-18,15181.49
2653,DIJISA - CHINCHA,2019-10-18,14212.08
2654,LA GENOVESA - MOQUEGUA,2019-10-18,2262.21
2655,MYG,2019-10-18,24482.19
2657,DIJISA - CHINCHA,2019-10-19,24714.8
2658,GRUPO SVS,2019-10-19,16080.92
2660,LA GENOVESA - MOQUEGUA,2019-10-19,1705.64
2662,MYL_HERMANOS,2019-10-19,305013.44
2663,STA APOLONIA - T,2019-10-19,93899.67
2664,LIDER - CHEPEN,2019-10-20,1688.08
2665,CASA GRANDE,2019-10-21,141571.52
2666,CURTIS NORTE,2019-10-21,4594.72
2667,MOLISAC,2019-10-21,108619.53
2669,PANAM,2019-10-21,24241.19
2670,VEGA - NORTE,2019-10-21,93317.83
2671,ALMACENES_SEVILLANO,2019-10-22,85602.0
2672,CORPORACION_VEGA,2019-10-22,42303.73
2673,FERROL,2019-10-22,55755.69
2674,MOLISAC,2019-10-22,93073.95
2675,PATITA SAC,2019-10-22,50729.22
2676,TCA SAC,2019-10-22,38118.23
2677,VEGA - SUR,2019-10-22,33647.08
2678,AGA - MOYOBAMBA,2019-10-23,14626.52
2679,CORPORACION_VEGA,2019-10-23,37588.13
2680,FERROL,2019-10-23,21160.77
2681,LIDER - TRUJILLO,2019-10-23,3822.86
2682,LYG-CD_SAC,2019-10-23,140810.89
2683,TEMMY,2019-10-23,52978.91
2684,5M DISTRIBUCIONES,2019-10-24,23167.49
2685,CURTIS NORTE,2019-10-24,6829.13
2686,DIPSA-ABANCAY,2019-10-24,4557.47
2689,ECONOMYSA,2019-10-24,164805.11
2690,SODALES,2019-10-24,82441.43
2691,VEGA - ESTE,2019-10-24,31780.67
2692,AGA - JAEN,2019-10-25,44192.09
2693,GIANELA,2019-10-25,66826.02
2694,LANCERO - PUCALLPA,2019-10-25,14255.89
2697,STA APOLONIA - CH,2019-10-25,70932.74
2698,ARCANGEL,2019-10-26,99246.86
2699,CODIJISA - CHIMBOTE,2019-10-26,34106.5
2700,DIPSA-AYACUCHO,2019-10-26,110970.71
2701,GIANELA,2019-10-26,19529.96
2702,JRC - ICA,2019-10-26,46250.94
2703,LYG-CD_SAC,2019-10-26,249367.41
2704,STA APOLONIA - CH,2019-10-26,64162.24
2705,VEGA - SUR,2019-10-26,41636.06
2706,DACIA - LIMA,2019-10-28,38714.47
2708,DIJISA - HUANCAYO,2019-10-28,24517.89
2709,EDUSA,2019-10-28,32297.79
2710,SAUL,2019-10-28,45545.83
2711,SODALES,2019-10-28,202098.79
2712,ARCANGEL,2019-10-29,98885.77
2713,DIJISA - HUANCAYO,2019-10-29,19701.69
2714,DIPSA-ANDAHUAYLAS,2019-10-29,147063.16
2715,EDUSA,2019-10-29,35551.22
2716,LAGUI,2019-10-29,53149.41
2719,CODIFER,2019-10-30,35760.4
2720,DICOBELSA - LIMA,2019-10-30,51405.73
2721,GUMISA - HUARAZ,2019-10-30,78657.23
2722,LANCERO - TINGO MARIA,2019-10-30,8021.56
2725,TAYMI,2019-10-30,478464.76
2726,VEGA - CENTRO,2019-10-30,34001.32
2727,ZV,2019-10-30,78425.87
2729,CODIJISA - CHIMBOTE,2019-10-31,49890.52
2731,PATITA SAC,2019-10-31,60073.47
2732,STA APOLONIA - T,2019-10-31,240756.68
2733,SODALES,2019-11-01,79980.8
2734,CASA GRANDE,2019-11-02,69913.87
2735,CODIJISA - TRUJILLO,2019-11-02,18661.56
2736,DIJISA - HUANCAYO,2019-11-02,1621.7
2737,EDUSA,2019-11-02,27167.97
2738,LA GENOVESA - TACNA,2019-11-02,16164.04
2740,AGA - MOYOBAMBA,2019-11-04,4166.35
2742,ALMACENES_SEVILLANO,2019-11-04,7839.32
2743,LA GENOVESA - ILO,2019-11-04,1888.05
2744,LANCERO - TINGO MARIA,2019-11-04,3550.89
2745,LIDER - TRUJILLO,2019-11-04,8939.81
2746,PATITA SAC,2019-11-04,61490.33
2748,TAYMI,2019-11-04,448734.65
2749,TCA SAC,2019-11-04,49990.54
2750,TEMMY,2019-11-04,77696.96
2751,ZV,2019-11-04,114195.48
2752,5M DISTRIBUCIONES,2019-11-05,23065.02
2756,ECONOMYSA,2019-11-05,74949.87
2757,VEGA - ESTE,2019-11-05,71156.73
2759,LANCERO - PUCALLPA,2019-11-06,16424.8
2760,MARRACHE,2019-11-06,29430.93
2761,AGA - JAEN,2019-11-07,114197.05
2762,CASA GRANDE,2019-11-07,205464.39
2763,DIPSA-AYACUCHO,2019-11-07,93257.82
2764,DISART,2019-11-07,46313.39
2765,JRC - ICA,2019-11-07,37956.27
2766,LA GENOVESA - TACNA,2019-11-07,32666.15
2769,VEGA - SUR,2019-11-07,24013.96
2770,DISTRIBUIDORA CCM,2019-11-08,665822.89
2771,DYCART,2019-11-08,287485.5
2772,GUMISA - HUARAZ,2019-11-08,96064.3
2773,LANCERO - HUANUCO,2019-11-08,2411.38
2774,MYG,2019-11-08,19266.77
2776,PATITA SAC,2019-11-09,70474.85
2777,RICMAN,2019-11-09,62090.68
2778,SAUL,2019-11-09,75932.6
2779,STA APOLONIA - T,2019-11-09,125932.0
2780,CASA GRANDE,2019-11-11,144516.62
2781,LANCERO - LA MERCED,2019-11-11,1752.64
2784,AGA - JAEN,2019-11-12,25826.37
2785,CODIFER,2019-11-12,34538.46
2786,DICOBELSA - LIMA,2019-11-12,48036.04
2787,DIJISA - LIMA,2019-11-12,11762.25
2788,EDUFARMA MERCADO,2019-11-12,112614.57
2790,MELVIN MICHEL AL,2019-11-12,167055.86
2791,SAN JUAN,2019-11-12,65720.18
2792,VEGA - CENTRO,2019-11-12,67351.65
2793,VEGA - NORTE,2019-11-12,99406.36
2794,VEGA - SUR,2019-11-12,37478.69
2795,AGA - MOYOBAMBA,2019-11-13,8995.47
2796,ALMACENES_SEVILLANO,2019-11-13,10822.25
2797,CODIJISA - PIURA,2019-11-13,193765.46
2798,CURTIS ESTE,2019-11-13,13878.94
2800,KONSUMASS,2019-11-13,190121.75
2801,LIDER - TRUJILLO,2019-11-13,6684.99
2802,TAMBOS AQP,2019-11-13,36345.95
2803,TAMBOS LIMA,2019-11-13,259512.73
2804,TCA SAC,2019-11-13,43883.94
2805,TEMMY,2019-11-13,55977.18
2806,5M DISTRIBUCIONES,2019-11-14,19502.1
2807,DIJISA - ICA,2019-11-14,8385.99
2810,DROGUERIA SAN MARTIN,2019-11-14,173395.0
2811,ECONOMYSA,2019-11-14,137930.68
2813,VEGA - ESTE,2019-11-14,41402.46
2814,AGA - TARAPOTO,2019-11-15,42696.39
2815,DACIA - LIMA,2019-11-15,32736.35
2817,EUROVA,2019-11-15,438937.43
2818,LANCERO - PUCALLPA,2019-11-15,11697.14
2819,LIDER - CHEPEN,2019-11-15,6393.06
2821,DIPSA-AYACUCHO,2019-11-16,156773.92
2822,JRC - ICA,2019-11-16,41058.26
2824,VEGA - SUR,2019-11-16,46810.61
2825,DISTRIBUIDORA CCM,2019-11-17,516099.15
2826,DIJISA - AYACUCHO,2019-11-18,13436.58
2827,ESTILOS,2019-11-18,11467.64
2828,GRUPO SVS,2019-11-18,227889.65
2829,P&PJ CHINCHA,2019-11-18,106702.12
2830,RICMAN,2019-11-18,3714.41
2831,SAUL,2019-11-18,55400.23
2832,SIPAN - Y,2019-11-18,186522.85
2833,CURTIS NORTE,2019-11-19,5389.46
2834,DACIA - LIMA,2019-11-19,22442.45
2835,DIPSA-ANDAHUAYLAS,2019-11-19,30720.53
2836,LAGUI,2019-11-19,9160.17
2837,PANAM,2019-11-19,18969.85
2838,CHUPACA BUSINESS,2019-11-20,51034.62
2839,LANCERO - LA MERCED,2019-11-20,1090.19
2840,MOLISAC,2019-11-20,87624.8
2842,CODIFER,2019-11-21,43854.69
2843,CORPORACION_VEGA,2019-11-21,35239.21
2845,DICOBELSA - LIMA,2019-11-21,36642.58
2846,DIJISA - LIMA,2019-11-21,14744.46
2847,EDUFARMA MERCADO,2019-11-21,146655.39
2848,FERROL,2019-11-21,30061.39
2849,JRC - NAZCA,2019-11-21,16665.73
2850,LYG-CD_SAC,2019-11-21,133950.46
2851,MELVIN MICHEL AL,2019-11-21,954.36
2853,SAN JUAN,2019-11-21,47419.11
2854,VEGA - CENTRO,2019-11-21,52825.07
2855,CODIJISA - PIURA,2019-11-22,146142.25
2856,CURTIS ESTE,2019-11-22,15190.7
2857,DIPSA-ABANCAY,2019-11-22,11064.51
2859,KONSUMASS,2019-11-22,75070.76
2860,TAMBOS AQP,2019-11-22,62447.1
2861,TAMBOS LIMA,2019-11-22,216479.37
2862,CALLAYUC,2019-11-23,162712.0
2864,CURTIS NORTE,2019-11-23,5680.2
2865,DIJISA - ICA,2019-11-23,6369.78
2866,DROGUERIA SAN MARTIN,2019-11-23,38219.9
2868,LIDER - CHEPEN,2019-11-24,2669.25
2869,CODIJISA - CHIMBOTE,2019-11-25,46573.36
2872,DIJISA - CHINCHA,2019-11-26,14594.86
2873,JRC - NAZCA,2019-11-26,11390.88
2874,LA GENOVESA - MOQUEGUA,2019-11-26,1171.69
2875,RODAMEOS,2019-11-26,99802.37
2876,SODALES,2019-11-26,77592.73
2877,URBANO,2019-11-26,63696.71
2878,CODIJISA - TRUJILLO,2019-11-27,41114.67
2879,DIJISA - AYACUCHO,2019-11-27,7384.95
2880,FERROL,2019-11-05,52603.36
2882,AGA - TARAPOTO,2019-11-06,19736.71
2883,CODIJISA - PIURA,2019-11-06,185605.38
2885,KONSUMASS,2019-11-06,136904.57
2886,LA GENOVESA - MOQUEGUA,2019-11-06,895.37
2887,LANCERO - LA MERCED,2019-11-06,1119.14
2888,CALLAYUC,2019-11-07,203872.81
2889,CODIJISA - CHIMBOTE,2019-11-07,27840.92
2890,DIJISA - ICA,2019-11-07,9018.74
2891,DROGUERIA SAN MARTIN,2019-11-07,108491.0
2893,LYG-CD_SAC,2019-11-07,199077.46
2895,CODIJISA - PIURA,2019-11-08,135393.49
2896,DIPSA-ABANCAY,2019-11-08,8655.25
2897,LA GENOVESA - MOQUEGUA,2019-11-08,828.08
2898,LIDER - CHEPEN,2019-11-08,19080.89
2899,SODALES,2019-11-08,120791.87
2900,TAMBOS AQP,2019-11-08,49339.07
2901,URBANO,2019-11-08,80430.74
2902,CODIJISA - CHIMBOTE,2019-11-09,42481.66
2903,CODIJISA - TRUJILLO,2019-11-09,33986.29
2904,DIJISA - HUANCAYO,2019-11-09,14404.33
2905,EDUSA,2019-11-09,41906.09
2906,ESTILOS,2019-11-09,7611.3
2907,GRUPO SVS,2019-11-09,9415.76
2909,LA GENOVESA - ILO,2019-11-09,599.98
2910,P&PJ CHINCHA,2019-11-09,157912.68
2911,SIPAN - Y,2019-11-09,184155.01
2912,LIDER - CHEPEN,2019-11-10,2918.03
2914,CHUPACA BUSINESS,2019-11-11,56049.2
2915,DIJISA - HUANCAYO,2019-11-11,13333.62
2916,EDUSA,2019-11-11,30623.99
2917,ESTILOS,2019-11-11,15854.97
2918,LA GENOVESA - ILO,2019-11-11,418.83
2919,MOLISAC,2019-11-11,120359.59
2921,SIPAN - Y,2019-11-11,221002.33
2922,ZV,2019-11-11,69758.45
2923,FERROL,2019-11-12,38399.07
2925,PANAM,2019-11-12,33035.88
2927,MARRACHE,2019-11-13,168345.69
2929,ZV,2019-11-13,81664.64
2930,CALLAYUC,2019-11-14,143184.12
2931,CODIJISA - CHIMBOTE,2019-11-14,27751.76
2932,CORPORACION_VEGA,2019-11-14,88183.85
2933,DISART,2019-11-14,197816.45
2934,LYG-CD_SAC,2019-11-14,166973.67
2935,DIPSA-ABANCAY,2019-11-15,14175.03
2936,MARRACHE,2019-11-15,78510.64
2937,MYG,2019-11-15,21955.9
2938,SODALES,2019-11-15,90171.21
2939,TAYMI,2019-11-15,314473.08
2940,CALLAYUC,2019-11-16,99206.38
2941,CASA GRANDE,2019-11-16,97748.19
2942,CODIJISA - CHIMBOTE,2019-11-16,41655.93
2943,DISART,2019-11-16,164274.09
2944,LA GENOVESA - TACNA,2019-11-16,20187.27
2945,LYG-CD_SAC,2019-11-16,174518.59
2946,AGA - MOYOBAMBA,2019-11-18,27065.66
2947,CASA GRANDE,2019-11-18,246984.59
2948,DIJISA - HUANCAYO,2019-11-18,12618.45
2949,EDUSA,2019-11-18,31299.14
2950,LA GENOVESA - ILO,2019-11-18,1206.6
2951,LA GENOVESA - TACNA,2019-11-18,37403.8
2954,ARCANGEL,2019-11-19,144657.11
2956,AGA - MOYOBAMBA,2019-11-20,18463.43
2957,MARRACHE,2019-11-20,43554.55
2958,PATITA SAC,2019-11-20,51455.31
2960,TEMMY,2019-11-20,68795.23
2961,ZV,2019-11-20,112731.53
2962,5M DISTRIBUCIONES,2019-11-21,20965.83
2963,AGA - JAEN,2019-11-21,13605.47
2965,DISART,2019-11-21,91787.92
2967,LANCERO - TINGO MARIA,2019-11-22,5804.03
2968,LIDER - TRUJILLO,2019-11-22,2941.42
2969,MARRACHE,2019-11-22,72877.63
2971,TAYMI,2019-11-22,393320.77
2972,DISART,2019-11-23,97887.43
2974,ECONOMYSA,2019-11-23,85596.04
2975,JRC - ICA,2019-11-23,28243.57
2978,VEGA - ESTE,2019-11-23,48220.33
2979,DISTRIBUIDORA CCM,2019-11-24,128989.83
2980,CASA GRANDE,2019-11-25,129269.71
2981,DIPSA-AYACUCHO,2019-11-25,120036.51
2982,ECONOMYSA,2019-11-25,76582.07
2983,LA GENOVESA - TACNA,2019-11-25,24599.84
2986,STA APOLONIA - T,2019-11-25,218520.58
2988,DIPSA-ANDAHUAYLAS,2019-11-26,73085.87
2989,DYCART,2019-11-26,217773.44
2990,AGA - MOYOBAMBA,2019-11-27,36169.92
2992,PATITA SAC,2019-11-27,98526.22
2993,SAUL,2019-11-27,57923.19
2994,5M DISTRIBUCIONES,2019-11-28,47267.64
2995,CODIFER,2019-11-28,32808.63
2996,DICOBELSA - LIMA,2019-11-28,44076.42
2997,EDUFARMA MERCADO,2019-11-28,150857.78
2998,GUMISA - HUARAZ,2019-11-28,22343.04
2999,MELVIN MICHEL AL,2019-11-28,324249.52
3000,MYL_HERMANOS,2019-11-28,372682.58
3001,VEGA - CENTRO,2019-11-28,35052.65
3002,LANCERO - LA MERCED,2019-11-29,2228.58
3003,LIDER - TRUJILLO,2019-11-29,3714.23
3004,PATITA SAC,2019-11-29,58176.19
3005,RICMAN,2019-11-29,152048.12
3006,CODIFER,2019-11-30,33868.21
3008,DICOBELSA - LIMA,2019-11-30,60836.57
3009,DIJISA - ICA,2019-11-30,9549.07
3010,DIJISA - LIMA,2019-11-30,16686.62
3012,DROGUERIA SAN MARTIN,2019-11-30,70151.5
3013,ECONOMYSA,2019-11-30,98427.23
3014,JRC - ICA,2019-11-30,38333.63
3016,SAN JUAN,2019-11-30,96741.73
3017,VEGA - CENTRO,2019-11-30,108287.14
3018,VEGA - ESTE,2019-11-30,37689.59
3020,DIJISA - LIMA,2019-12-02,13411.85
3021,DIPSA-AYACUCHO,2019-12-02,72583.26
3023,ECONOMYSA,2019-12-02,75557.23
3025,P&PJ CHINCHA,2019-12-02,8387.94
3027,SAN JUAN,2019-12-02,53613.32
3028,VEGA - ESTE,2019-12-02,25010.63
3029,VEGA - SUR,2019-12-02,26578.44
3030,AGA - TARAPOTO,2019-12-03,8249.21
3031,PATITA SAC,2019-10-29,91508.95
3032,TCA SAC,2019-10-29,82704.84
3033,5M DISTRIBUCIONES,2019-10-30,53718.88
3034,DIJISA - AYACUCHO,2019-10-30,13945.9
3036,ESTILOS,2019-10-30,7404.9
3037,GRUPO SVS,2019-10-30,109631.44
3038,MYL_HERMANOS,2019-10-30,364666.69
3039,SIPAN - Y,2019-10-30,151435.45
3040,CALLAYUC,2019-10-31,202298.36
3041,CURTIS NORTE,2019-10-31,7089.68
3042,LANCERO - PUCALLPA,2019-10-31,15021.09
3044,PANAM,2019-10-31,83535.46
3045,DIPSA-AYACUCHO,2019-11-01,29441.34
3047,VEGA - SUR,2019-11-01,12217.47
3048,ALMACENES_SEVILLANO,2019-11-02,6792.0
3049,CODIJISA - CHIMBOTE,2019-11-02,18309.4
3050,CORPORACION_VEGA,2019-11-02,53483.82
3051,DISTRIBUIDORA CCM,2019-11-02,766136.79
3052,DYCART,2019-11-02,285445.64
3053,LANCERO - HUANUCO,2019-11-02,1788.23
3054,LIDER - TRUJILLO,2019-11-02,5541.41
3055,LYG-CD_SAC,2019-11-02,144864.96
3056,TEMMY,2019-11-02,64213.67
3057,CALLAYUC,2019-11-04,139910.64
3058,DACIA - LIMA,2019-11-04,30039.18
3060,DIPSA-ANDAHUAYLAS,2019-11-04,37905.09
3061,ARCANGEL,2019-11-05,73717.52
3064,CODIFER,2019-11-06,34893.53
3065,DICOBELSA - LIMA,2019-11-06,49810.22
3066,EDUFARMA MERCADO,2019-11-06,167915.83
3067,GUMISA - HUARAZ,2019-11-06,53353.59
3068,LA GENOVESA - ILO,2019-11-06,2665.58
3069,LANCERO - HUANUCO,2019-11-06,6722.9
3070,VEGA - CENTRO,2019-11-06,43789.89
3071,ZV,2019-11-06,78576.64
3073,RICMAN,2019-11-07,61551.19
3074,SAUL,2019-11-07,66562.22
3075,TAMBOS LIMA,2019-11-07,436423.13
3076,CODIJISA - TRUJILLO,2019-11-08,57202.5
3077,DIJISA - HUANCAYO,2019-11-08,14248.82
3078,DIPSA-ANDAHUAYLAS,2019-11-08,34965.63
3079,DROGUERIA SAN MARTIN,2019-11-08,44088.3
3080,EDUSA,2019-11-08,40472.34
3081,MARRACHE,2019-11-08,50657.82
3082,DISART,2019-11-09,120043.76
3083,EUROVA,2019-11-09,694294.5
3084,LANCERO - LA MERCED,2019-11-09,574.14
3085,MELVIN MICHEL AL,2019-11-10,136540.11
3086,CODIJISA - PIURA,2019-11-11,319849.34
3087,CURTIS ESTE,2019-11-11,15195.14
3088,DIJISA - CHINCHA,2019-11-11,17437.6
3090,KONSUMASS,2019-11-11,70787.79
3091,LA GENOVESA - MOQUEGUA,2019-11-11,2807.3
3093,STA APOLONIA - T,2019-11-11,119990.52
3094,TAMBOS AQP,2019-11-11,95505.69
3095,DIJISA - ICA,2019-11-12,12892.07
3096,ESTILOS,2019-11-12,18131.65
3098,P&PJ CHINCHA,2019-11-12,86357.57
3099,AGA - TARAPOTO,2019-11-13,17113.62
3100,CASA GRANDE,2019-11-13,114769.18
3101,LA GENOVESA - TACNA,2019-11-13,33397.53
3102,LIDER - CHEPEN,2019-11-13,5708.56
3103,CHUPACA BUSINESS,2019-11-14,34613.06
3104,MOLISAC,2019-11-14,109992.82
3105,MYG,2019-11-14,8888.76
3106,VEGA - NORTE,2019-11-14,87580.72
3107,AGA - MOYOBAMBA,2019-11-15,26532.47
3109,FERROL,2019-11-15,24038.49
3110,JRC - NAZCA,2019-11-15,6395.09
3112,PATITA SAC,2019-11-15,31311.07
3113,TCA SAC,2019-11-15,35820.62
3114,5M DISTRIBUCIONES,2019-11-16,19992.06
3115,DIJISA - AYACUCHO,2019-11-16,12968.68
3117,GRUPO SVS,2019-11-16,7458.5
3118,MYL_HERMANOS,2019-11-16,414955.8
3119,SIPAN - Y,2019-11-16,128630.85
3120,AGA - JAEN,2019-11-18,38549.79
3121,DIPSA-AYACUCHO,2019-11-18,89611.12
3122,GIANELA,2019-11-18,20584.0
3123,JRC - ICA,2019-11-18,49560.26
3125,MOLISAC,2019-11-18,122188.37
3127,STA APOLONIA - CH,2019-11-18,72980.66
3128,VEGA - SUR,2019-11-18,26714.49
3129,ALMACENES_SEVILLANO,2019-11-19,35757.66
3130,CODIJISA - CHIMBOTE,2019-11-19,39635.11
3131,CORPORACION_VEGA,2019-11-19,35039.18
3132,DISTRIBUIDORA CCM,2019-11-19,622671.95
3133,DYCART,2019-11-19,317712.95
3134,LANCERO - HUANUCO,2019-11-19,2596.79
3135,LIDER - TRUJILLO,2019-11-19,6841.72
3136,LYG-CD_SAC,2019-11-19,198818.54
3137,TEMMY,2019-11-19,45794.71
3138,DIPSA-ABANCAY,2019-11-20,18213.91
3140,ECONOMYSA,2019-11-20,67894.04
3141,RODAMEOS,2019-11-20,71805.0
3142,SAUL,2019-11-20,57723.45
3143,SODALES,2019-11-20,149677.82
3144,URBANO,2019-11-20,22618.34
3145,VEGA - ESTE,2019-11-20,44597.37
3146,DACIA - LIMA,2019-11-21,29061.93
3148,DIJISA - HUANCAYO,2019-11-21,6846.18
3149,DIPSA-ANDAHUAYLAS,2019-11-21,140298.71
3150,EDUSA,2019-11-21,29504.31
3151,LAGUI,2019-11-21,28945.76
3152,ARCANGEL,2019-11-22,76644.35
3154,CODIFER,2019-11-23,34851.23
3155,DICOBELSA - LIMA,2019-11-23,42740.77
3156,EDUFARMA MERCADO,2019-11-23,113974.0
3157,GUMISA - HUARAZ,2019-11-23,141569.75
3158,LA GENOVESA - ILO,2019-11-23,1961.38
3160,VEGA - CENTRO,2019-11-23,57316.7
3161,ZV,2019-11-23,70914.59
3162,CODIJISA - TRUJILLO,2019-11-25,106625.72
3163,DIJISA - ICA,2019-11-25,11760.5
3164,DROGUERIA SAN MARTIN,2019-11-25,112706.61
3165,EDUSA,2019-11-25,29442.41
3166,MARRACHE,2019-11-25,116280.47
3167,AGA - TARAPOTO,2019-11-26,12832.87
3168,DISART,2019-11-26,73622.72
3169,EUROVA,2019-11-26,415935.06
3170,LANCERO - LA MERCED,2019-11-26,911.45
3173,DIJISA - LIMA,2019-11-27,13257.86
3174,LANCERO - TINGO MARIA,2019-11-27,8082.09
3175,MELVIN MICHEL AL,2019-11-27,397474.28
3176,MYG,2019-11-27,10860.88
3177,SAN JUAN,2019-11-27,73745.37
3179,TAYMI,2019-11-27,810314.29
3180,CODIJISA - PIURA,2019-11-28,166742.38
3181,CURTIS ESTE,2019-11-28,8719.33
3182,AGA - TARAPOTO,2019-10-29,30448.25
3185,DYCART,2019-10-29,256363.75
3186,KONSUMASS,2019-10-29,50628.23
3188,TEMMY,2019-10-29,74093.17
3189,AGA - JAEN,2019-10-30,23763.89
3191,SAUL,2019-10-30,64549.42
3193,CODIJISA - PIURA,2019-10-31,239387.29
3194,GUMISA - HUARAZ,2019-10-31,161529.48
3195,LA GENOVESA - MOQUEGUA,2019-10-31,2145.2
3196,LAGUI,2019-10-31,309068.81
3197,MYG,2019-10-31,53732.79
3198,MYL_HERMANOS,2019-10-31,451914.05
3199,URBANO,2019-10-31,315745.37
3200,GRUPO SVS,2019-11-01,9831.85
