,Categoria,Fecha,Soles
1078,02 Rollos de Cocina,2021-01-21,1238967.91
1079,04 Pañuelos Masivos,2021-05-19,8469.38
1080,02 Rollos de Cocina,2020-07-19,33794.87
1081,11 Toallas Húmedas,2020-08-13,43846.28
1082,05 Pañales Bebe,2020-02-26,2289471.71
1083,01 Higiénicos Masivos,2020-12-07,5761549.21
1084,10 Toallas Femeninas,2020-10-31,442364.47
1085,04 Pañuelos Masivos,2019-09-23,10345.54
1086,03 Servilletas Masivos,2021-01-03,13812.39
1087,04 Pañuelos Masivos,2020-11-20,3642.99
1088,01 Higiénicos Masivos,2019-12-07,5129263.36
1089,38 Pañales Adultos,2020-10-13,50927.1
1090,10 Toallas Femeninas,2020-05-26,252120.84
1091,03 Servilletas Masivos,2020-03-28,302346.51
1092,04 Pañuelos Masivos,2020-04-21,12721.9
1093,01 Mascarilla ,2021-05-20,1476.68
1094,38 Pañales Adultos,2021-02-13,81331.17
1095,02 Rollos de Cocina,2020-01-23,664775.26
1096,02 Rollos de Cocina,2020-07-21,1324083.45
1097,02 Rollos de Cocina,2020-01-17,857087.4
1098,03 Servilletas Masivos,2019-09-24,935714.41
1099,04 Pañuelos Masivos,2019-10-18,11139.58
1100,10 Toallas Femeninas,2020-11-28,273453.5
1101,01 Higiénicos Masivos,2020-01-18,4792205.23
1102,04 Pañuelos Masivos,2021-06-10,6433.38
1103,03 Servilletas Masivos,2021-05-17,272008.07
1104,05 Pañales Bebe,2020-09-10,2199882.01
1105,01 Higiénicos Masivos,2020-01-12,219868.84
1106,11 Toallas Húmedas,2019-11-17,3959.81
1107,05 Pañales Bebe,2021-03-15,2228179.57
1108,05 Pañales Bebe,2020-01-19,63079.59
1109,11 Toallas Húmedas,2019-11-23,47149.68
1110,38 Pañales Adultos,2019-12-20,65002.46
1111,10 Toallas Femeninas,2021-05-30,7205.49
1112,01 Mascarilla ,2020-11-18,3188.0
1113,03 Servilletas Masivos,2020-03-22,466.87
1114,01 Higiénicos Masivos,2021-03-08,3414975.53
1115,01 Mascotas,2020-09-24,1986.44
1116,01 Higiénicos Masivos,2020-07-16,5464994.32
1117,10 Toallas Femeninas,2019-10-04,315190.16
1118,01 Mascotas,2021-03-29,19.92
1119,02 Rollos de Cocina,2020-01-20,691980.82
1120,38 Pañales Adultos,2021-02-10,82237.91
1121,01 Higiénicos Masivos,2021-03-05,3168198.09
1122,03 Servilletas Masivos,2020-03-25,210622.37
1123,11 Toallas Húmedas,2021-01-11,68403.71
1124,04 Pañuelos Masivos,2020-04-18,2652.88
1125,05 Pañales Bebe,2021-03-12,2225834.21
1126,10 Toallas Femeninas,2020-11-25,215132.62
1127,38 Pañales Adultos,2020-06-23,50365.33
1128,04 Pañuelos Masivos,2019-10-21,10023.92
1129,01 Higiénicos Masivos,2020-01-15,6033745.13
1130,03 Servilletas Masivos,2019-09-21,492141.23
1131,04 Pañuelos Masivos,2019-10-15,18032.56
1132,11 Toallas Húmedas,2019-11-20,48110.64
1133,38 Pañales Adultos,2019-12-23,46495.87
1134,05 Pañales Bebe,2020-09-07,2343417.12
1135,03 Servilletas Masivos,2021-05-14,329236.86
1136,04 Pañuelos Masivos,2021-06-13,267.84
1137,01 Mascarilla ,2020-11-21,2110.98
1138,04 Pañuelos Masivos,2020-12-09,3102.05
1139,02 Rollos de Cocina,2021-03-13,1023721.38
1140,01 Mascotas,2021-04-01,848.12
1141,10 Toallas Femeninas,2019-10-07,179056.84
1142,03 Servilletas Masivos,2020-11-21,315269.32
1143,11 Toallas Húmedas,2020-05-15,70983.73
1144,04 Pañuelos Masivos,2020-12-15,4569.66
1145,02 Rollos de Cocina,2020-09-11,1553942.61
1146,05 Pañales Bebe,2020-03-11,1976652.73
1147,38 Pañales Adultos,2019-12-17,91082.99
1148,01 Mascotas,2020-03-31,39.83
1149,11 Toallas Húmedas,2020-05-21,67226.39
1150,04 Pañuelos Masivos,2020-06-12,37947.86
1151,38 Pañales Adultos,2020-06-14,201.47
1152,38 Pañales Adultos,2020-06-20,41275.87
1153,01 Higiénicos Masivos,2021-03-14,98298.92
1154,01 Higiénicos Masivos,2020-09-09,4500604.49
1155,02 Rollos de Cocina,2021-03-16,1435518.53
1156,10 Toallas Femeninas,2020-06-01,175032.3
1157,04 Pañuelos Masivos,2021-06-16,12014.85
1158,03 Servilletas Masivos,2021-05-23,9356.94
1159,05 Pañales Bebe,2020-09-16,1894747.68
1160,10 Toallas Femeninas,2019-11-28,206446.61
1161,02 Rollos de Cocina,2020-09-14,1780838.88
1162,10 Toallas Femeninas,2020-12-01,117725.1
1163,01 Mascotas,2020-09-30,2258.19
1164,11 Toallas Húmedas,2020-11-20,72040.34
1165,11 Toallas Húmedas,2020-05-18,79715.27
1166,03 Servilletas Masivos,2020-11-18,359091.82
1167,04 Pañuelos Masivos,2020-12-12,3527.04
1168,02 Rollos de Cocina,2021-03-19,1003341.52
1169,10 Toallas Femeninas,2020-05-29,311826.92
1170,05 Pañales Bebe,2020-03-14,1645908.93
1171,38 Pañales Adultos,2020-12-20,2584.18
1172,04 Pañuelos Masivos,2020-12-18,5176.49
1173,03 Servilletas Masivos,2019-09-27,737747.36
1174,01 Mascotas,2020-03-28,31.44
1175,38 Pañales Adultos,2020-06-17,95014.36
1176,01 Higiénicos Masivos,2020-09-06,111866.97
1177,03 Servilletas Masivos,2021-05-20,288529.02
1178,01 Mascotas,2020-04-03,78.19
1179,04 Pañuelos Masivos,2019-10-24,10626.33
1180,03 Servilletas Masivos,2020-11-15,8543.16
1181,05 Pañales Bebe,2020-09-13,123912.88
1182,01 Higiénicos Masivos,2021-03-11,4062380.54
1183,05 Pañales Bebe,2020-03-17,1500972.95
1184,11 Toallas Húmedas,2020-01-17,49902.69
1185,01 Mascotas,2021-05-29,181.33
1186,01 Higiénicos Masivos,2020-09-12,5420759.99
1187,05 Pañales Bebe,2019-09-13,2337541.53
1188,10 Toallas Femeninas,2021-01-25,199598.69
1189,11 Toallas Húmedas,2020-07-21,44080.52
1190,01 Mascotas,2020-11-24,4158.74
1191,03 Servilletas Masivos,2020-05-19,212540.78
1192,01 Higiénicos Masivos,2020-03-10,6081774.56
1193,04 Pañuelos Masivos,2020-06-18,6066.04
1194,03 Servilletas Masivos,2020-05-25,197162.45
1195,02 Rollos de Cocina,2020-09-17,1535188.45
1196,10 Toallas Femeninas,2019-12-04,177488.27
1197,02 Rollos de Cocina,2020-03-18,1251561.44
1198,04 Pañuelos Masivos,2019-12-15,190.21
1199,38 Pañales Adultos,2020-08-23,66.5
1200,05 Pañales Bebe,2021-05-09,24915.06
1201,38 Pañales Adultos,2020-02-19,58889.11
1202,01 Mascotas,2021-05-26,77.79
1203,05 Pañales Bebe,2020-11-07,1803684.47
1204,01 Higiénicos Masivos,2020-03-13,11103949.58
1205,02 Rollos de Cocina,2021-05-10,1172413.16
1206,03 Servilletas Masivos,2020-11-24,351689.47
1207,11 Toallas Húmedas,2020-07-24,46685.93
1208,02 Rollos de Cocina,2020-09-20,24983.9
1209,05 Pañales Bebe,2020-03-20,1394482.68
1210,05 Pañales Bebe,2019-09-16,2493500.6
1211,10 Toallas Femeninas,2021-01-22,235146.74
1212,01 Mascotas,2020-11-21,1916.39
1213,01 Higiénicos Masivos,2020-09-15,4914372.29
1214,03 Servilletas Masivos,2020-05-22,238789.48
1215,04 Pañuelos Masivos,2020-06-15,3787.02
1216,03 Servilletas Masivos,2019-11-18,639044.89
1217,10 Toallas Femeninas,2019-12-01,1703.82
1218,38 Pañales Adultos,2020-08-20,112896.7
1219,02 Rollos de Cocina,2020-03-15,37532.95
1220,05 Pañales Bebe,2021-05-06,1770609.04
1221,05 Pañales Bebe,2021-05-12,1274146.76
1222,01 Higiénicos Masivos,2019-09-09,5753751.05
1223,01 Higiénicos Masivos,2021-05-05,3004765.9
1224,10 Toallas Femeninas,2020-06-04,221299.42
1225,01 Mascarilla ,2020-09-21,37.97
1226,02 Rollos de Cocina,2021-06-01,712210.89
1227,11 Toallas Húmedas,2020-03-05,45808.11
1228,03 Servilletas Masivos,2021-01-31,14994.07
1229,01 Higiénicos Masivos,2019-10-01,3566087.14
1230,05 Pañales Bebe,2020-05-27,3190513.97
1231,01 Mascotas,2021-01-05,1117.71
1232,10 Toallas Femeninas,2021-03-14,5627.31
1233,11 Toallas Húmedas,2020-09-07,51815.87
1234,01 Mascotas,2021-01-11,68.87
1235,01 Mascarilla ,2021-03-04,29352.28
1236,05 Pañales Bebe,2020-11-29,38635.89
1237,01 Higiénicos Masivos,2021-05-27,3705203.31
1238,10 Toallas Femeninas,2021-03-08,214915.77
1239,01 Higiénicos Masivos,2021-05-24,5029530.49
1240,02 Rollos de Cocina,2019-10-09,694971.3
1241,04 Pañuelos Masivos,2020-08-05,7402.27
1242,04 Pañuelos Masivos,2020-01-29,10428.75
1243,02 Rollos de Cocina,2019-10-06,11243.15
1244,03 Servilletas Masivos,2019-12-13,698479.85
1245,10 Toallas Femeninas,2020-01-18,219244.06
1246,02 Rollos de Cocina,2020-04-09,104325.23
1247,38 Pañales Adultos,2020-10-07,79406.97
1248,01 Mascarilla ,2021-02-26,6330.08
1249,01 Higiénicos Masivos,2020-11-22,63000.46
1250,38 Pañales Adultos,2020-04-04,56476.01
1251,02 Rollos de Cocina,2020-11-30,2894137.13
1252,01 Higiénicos Masivos,2020-11-25,5430471.71
1253,02 Rollos de Cocina,2021-06-04,1087293.34
1254,02 Rollos de Cocina,2021-05-29,1291991.79
1255,03 Servilletas Masivos,2021-02-03,404850.68
1256,11 Toallas Húmedas,2020-03-02,30551.31
1257,05 Pañales Bebe,2020-05-24,7279.7
1258,01 Higiénicos Masivos,2019-10-04,5578691.67
1259,10 Toallas Femeninas,2021-03-11,205472.07
1260,11 Toallas Húmedas,2020-09-04,60678.87
1261,01 Mascotas,2021-01-08,134.25
1262,04 Pañuelos Masivos,2020-08-02,1116.92
1263,38 Pañales Adultos,2021-05-27,49727.3
1264,05 Pañales Bebe,2020-11-26,1992361.15
1265,38 Pañales Adultos,2020-10-04,620.21
1266,11 Toallas Húmedas,2021-04-27,59203.72
1267,03 Servilletas Masivos,2019-12-10,784890.87
1268,04 Pañuelos Masivos,2020-02-01,7368.95
1269,01 Higiénicos Masivos,2020-11-19,4410832.98
1270,01 Mascarilla ,2021-03-01,3582.08
1271,10 Toallas Femeninas,2020-01-21,173153.46
1272,05 Pañales Bebe,2020-05-30,2996092.85
1273,03 Servilletas Masivos,2020-08-01,196255.91
1274,38 Pañales Adultos,2020-04-01,42613.98
1275,02 Rollos de Cocina,2020-11-27,1181119.05
1276,38 Pañales Adultos,2020-04-07,50302.38
1277,01 Higiénicos Masivos,2020-11-28,4960962.2
1278,05 Pañales Bebe,2021-01-20,2604198.29
1279,38 Pañales Adultos,2021-04-02,5031.84
1280,38 Pañales Adultos,2020-09-28,65515.15
1281,02 Rollos de Cocina,2020-06-03,1351907.52
1282,11 Toallas Húmedas,2020-09-01,41649.5
1283,11 Toallas Húmedas,2020-08-29,63458.48
1284,05 Pañales Bebe,2019-11-29,2757846.17
1285,10 Toallas Femeninas,2020-09-09,190921.29
1286,02 Rollos de Cocina,2020-12-06,91449.46
1287,38 Pañales Adultos,2020-10-01,62705.15
1288,01 Mascotas,2020-07-09,48.92
1289,04 Pañuelos Masivos,2021-03-28,141.55
1290,11 Toallas Húmedas,2021-03-06,76201.73
1291,03 Servilletas Masivos,2021-02-06,341380.43
1292,01 Mascotas,2020-07-15,451.99
1293,04 Pañuelos Masivos,2020-02-04,11194.56
1294,05 Pañales Bebe,2020-06-02,2206807.49
1295,01 Higiénicos Masivos,2020-05-26,7241287.16
1296,03 Servilletas Masivos,2020-08-04,265644.96
1297,10 Toallas Femeninas,2020-09-15,235168.67
1298,01 Higiénicos Masivos,2020-05-23,4550886.97
1299,04 Pañuelos Masivos,2020-02-07,9492.44
1300,38 Pañales Adultos,2021-04-05,40337.78
1301,04 Pañuelos Masivos,2020-09-26,7592.95
1302,01 Mascarilla ,2021-03-07,312.3
1303,01 Mascotas,2021-01-14,367.17
1304,04 Pañuelos Masivos,2021-03-31,18972.96
1305,05 Pañales Bebe,2019-12-02,1572542.21
1306,10 Toallas Femeninas,2021-03-17,180932.54
1307,02 Rollos de Cocina,2020-05-31,10902.6
1308,03 Servilletas Masivos,2020-02-03,655061.55
1309,11 Toallas Húmedas,2021-03-03,91295.32
1310,04 Pañuelos Masivos,2021-03-25,4423.62
1311,01 Higiénicos Masivos,2020-05-29,7469083.1
1312,05 Pañales Bebe,2019-11-26,2183520.56
1313,02 Rollos de Cocina,2020-12-03,1135350.49
1314,10 Toallas Femeninas,2020-09-12,204330.47
1315,03 Servilletas Masivos,2020-08-07,301804.64
1316,10 Toallas Femeninas,2020-03-16,170035.85
1317,03 Servilletas Masivos,2020-02-09,1425.12
1318,02 Rollos de Cocina,2019-12-06,850729.38
1319,01 Mascotas,2020-07-18,253.23
1320,04 Pañuelos Masivos,2020-09-29,11073.06
1321,04 Pañuelos Masivos,2021-04-03,2454.29
1322,02 Rollos de Cocina,2019-11-30,892090.34
1323,01 Higiénicos Masivos,2019-12-01,21371.35
1324,10 Toallas Femeninas,2019-09-12,163662.7
1325,05 Pañales Bebe,2021-01-29,3832154.56
1326,03 Servilletas Masivos,2021-04-02,19227.93
1327,10 Toallas Femeninas,2021-05-08,218157.02
1328,05 Pañales Bebe,2019-12-05,1699787.97
1329,01 Higiénicos Masivos,2020-06-01,5362372.62
1330,11 Toallas Húmedas,2020-11-04,55142.78
1331,03 Servilletas Masivos,2020-08-10,292975.7
1332,01 Mascarilla ,2021-01-02,1611.4
1333,11 Toallas Húmedas,2020-05-02,38156.42
1334,38 Pañales Adultos,2020-12-07,53492.04
1335,11 Toallas Húmedas,2021-05-06,80345.17
1336,04 Pañuelos Masivos,2020-03-30,6928.41
1337,38 Pañales Adultos,2020-12-01,34465.32
1338,02 Rollos de Cocina,2019-12-03,770239.46
1339,10 Toallas Femeninas,2020-03-19,173133.35
1340,10 Toallas Femeninas,2020-03-13,238324.61
1341,11 Toallas Húmedas,2020-11-01,702.07
1342,04 Pañuelos Masivos,2020-10-02,6458.07
1343,03 Servilletas Masivos,2020-02-06,778681.76
1344,10 Toallas Femeninas,2019-09-15,4134.02
1345,05 Pañales Bebe,2021-01-23,2587905.63
1346,02 Rollos de Cocina,2020-06-06,1387617.26
1347,01 Higiénicos Masivos,2019-11-28,5264010.64
1348,05 Pañales Bebe,2020-07-24,2305181.47
1349,03 Servilletas Masivos,2021-03-30,323224.01
1350,01 Higiénicos Masivos,2019-11-25,5212695.72
1351,01 Mascarilla ,2021-01-05,1051.99
1352,05 Pañales Bebe,2021-01-26,1963685.7
1353,38 Pañales Adultos,2020-06-01,84900.18
1354,11 Toallas Húmedas,2020-11-07,63238.83
1355,10 Toallas Femeninas,2020-09-18,206318.05
1356,38 Pañales Adultos,2020-12-04,75865.13
1357,01 Higiénicos Masivos,2021-01-19,5167542.81
1358,11 Toallas Húmedas,2020-10-29,57021.95
1359,03 Servilletas Masivos,2020-10-04,7504.78
1360,02 Rollos de Cocina,2021-02-02,1513928.3
1361,38 Pañales Adultos,2020-04-10,175.25
1362,38 Pañales Adultos,2020-08-05,55128.99
1363,02 Rollos de Cocina,2020-07-27,1287575.1
1364,01 Higiénicos Masivos,2021-03-02,3083329.54
1365,02 Rollos de Cocina,2021-01-29,2293874.6
1366,10 Toallas Femeninas,2020-04-10,655.41
1367,38 Pañales Adultos,2021-02-07,1360.01
1368,01 Mascotas,2020-03-19,19.92
1369,05 Pañales Bebe,2019-09-01,10163.05
1370,11 Toallas Húmedas,2020-11-29,9196.49
1371,04 Pañuelos Masivos,2019-09-02,13984.6
1372,10 Toallas Femeninas,2020-10-13,231119.72
1373,11 Toallas Húmedas,2020-05-27,68618.26
1374,11 Toallas Húmedas,2020-12-02,56624.62
1375,01 Higiénicos Masivos,2020-09-03,4774955.97
1376,01 Mascotas,2021-05-11,1801.5
1377,05 Pañales Bebe,2020-09-04,2536508.32
1378,10 Toallas Femeninas,2020-04-13,233436.7
1379,04 Pañuelos Masivos,2021-04-28,5478.78
1380,02 Rollos de Cocina,2021-01-26,1275959.23
1381,03 Servilletas Masivos,2021-04-04,18292.69
1382,03 Servilletas Masivos,2020-09-30,398648.64
1383,04 Pañuelos Masivos,2020-10-24,6969.06
1384,01 Higiénicos Masivos,2020-08-28,5429500.14
1385,10 Toallas Femeninas,2019-10-10,250447.35
1386,05 Pañales Bebe,2020-03-02,1165834.75
1387,01 Mascarilla ,2021-05-23,1700.3
1388,04 Pañuelos Masivos,2020-10-27,21306.19
1389,02 Rollos de Cocina,2019-12-05,742955.08
1390,11 Toallas Húmedas,2020-11-26,53779.14
1391,10 Toallas Femeninas,2021-06-05,264754.08
1392,05 Pañales Bebe,2021-04-27,1943599.5
1393,02 Rollos de Cocina,2020-07-24,1330573.0
1394,38 Pañales Adultos,2020-08-08,60552.62
1395,04 Pañuelos Masivos,2020-04-24,7308.93
1396,01 Mascotas,2021-05-14,371.24
1397,05 Pañales Bebe,2020-03-05,1551055.06
1398,03 Servilletas Masivos,2021-04-01,122851.43
1399,01 Mascarilla ,2020-10-03,558.75
1400,01 Higiénicos Masivos,2020-02-27,5066508.12
1401,04 Pañuelos Masivos,2019-09-05,14393.11
1402,10 Toallas Femeninas,2021-06-02,170388.66
1403,38 Pañales Adultos,2020-02-04,56849.46
1404,01 Higiénicos Masivos,2020-08-31,9159283.79
1405,03 Servilletas Masivos,2020-09-27,5169.19
1406,01 Mascarilla ,2021-05-26,4484.74
1407,11 Toallas Húmedas,2019-10-08,28832.78
1408,01 Mascotas,2020-11-09,779.5
1409,11 Toallas Húmedas,2021-06-03,61974.74
1410,02 Rollos de Cocina,2021-03-22,1170152.22
1411,05 Pañales Bebe,2019-09-07,1810651.26
1412,01 Mascotas,2020-11-18,2533.45
1413,10 Toallas Femeninas,2021-06-08,183578.68
1414,38 Pañales Adultos,2019-12-11,70597.09
1415,10 Toallas Femeninas,2020-12-04,192298.19
1416,11 Toallas Húmedas,2020-11-23,58870.29
1417,03 Servilletas Masivos,2020-10-06,319950.94
1418,04 Pañuelos Masivos,2020-10-30,10886.36
1419,03 Servilletas Masivos,2020-04-03,220611.41
1420,04 Pañuelos Masivos,2020-04-27,5925.4
1421,02 Rollos de Cocina,2020-08-02,39994.89
1422,05 Pañales Bebe,2021-04-30,6256957.25
1423,01 Higiénicos Masivos,2020-03-04,4775420.21
1424,11 Toallas Húmedas,2020-04-05,1648.61
1425,01 Mascarilla ,2020-11-24,2372.41
1426,01 Higiénicos Masivos,2020-03-01,16729.08
1427,01 Mascarilla ,2021-05-29,2211.6
1428,02 Rollos de Cocina,2020-01-29,788308.33
1429,10 Toallas Femeninas,2019-10-16,180111.45
1430,05 Pañales Bebe,2021-05-03,997942.37
1431,11 Toallas Húmedas,2019-10-05,47000.26
1432,04 Pañuelos Masivos,2019-10-27,223.75
1433,01 Higiénicos Masivos,2021-04-26,4062850.7
1434,38 Pañales Adultos,2021-02-04,71461.02
1435,11 Toallas Húmedas,2021-05-25,74882.95
1436,01 Mascotas,2020-11-12,699.54
1437,05 Pañales Bebe,2020-03-08,33804.71
1438,01 Mascotas,2021-05-17,298.25
1439,05 Pañales Bebe,2020-10-29,2730965.6
1440,04 Pañuelos Masivos,2021-06-22,2239.72
1441,11 Toallas Húmedas,2021-05-31,121202.49
1442,03 Servilletas Masivos,2020-10-03,265143.32
1443,38 Pañales Adultos,2019-12-14,44791.32
1444,02 Rollos de Cocina,2020-01-26,6662.27
1445,10 Toallas Femeninas,2020-12-07,186029.4
1446,11 Toallas Húmedas,2019-09-29,3505.44
1447,01 Mascarilla ,2020-11-27,1358.84
1448,05 Pañales Bebe,2019-09-04,2426606.4
1449,03 Servilletas Masivos,2020-04-06,221444.96
1450,03 Servilletas Masivos,2020-03-31,435996.09
1451,04 Pañuelos Masivos,2020-04-30,12275.0
1452,10 Toallas Femeninas,2021-06-11,173116.21
1453,01 Mascotas,2020-05-13,133.72
1454,05 Pañales Bebe,2019-09-10,1887595.3
1455,02 Rollos de Cocina,2020-07-30,1475880.96
1456,01 Higiénicos Masivos,2020-03-07,5179592.77
1457,01 Mascarilla ,2021-06-01,1831.48
1458,05 Pañales Bebe,2020-10-26,2259005.75
1459,10 Toallas Femeninas,2019-10-13,5026.38
1460,38 Pañales Adultos,2021-02-01,62061.28
1461,03 Servilletas Masivos,2019-09-30,946114.48
1462,11 Toallas Húmedas,2019-10-02,41921.41
1463,01 Mascotas,2021-05-20,198.45
1464,10 Toallas Femeninas,2020-04-16,247072.03
1465,01 Higiénicos Masivos,2021-04-23,4325041.58
1466,03 Servilletas Masivos,2021-05-26,271434.28
1467,04 Pañuelos Masivos,2021-06-19,4231.37
1468,11 Toallas Húmedas,2021-05-28,82311.99
1469,05 Pañales Bebe,2020-05-02,1963049.53
1470,01 Mascarilla ,2020-09-24,56.95
1471,01 Higiénicos Masivos,2019-09-06,6298264.49
1472,10 Toallas Femeninas,2019-12-07,159350.76
1473,02 Rollos de Cocina,2021-03-28,23392.67
1474,03 Servilletas Masivos,2020-11-27,340604.19
1475,38 Pañales Adultos,2021-04-06,82005.72
1476,04 Pañuelos Masivos,2020-12-21,5171.31
1477,11 Toallas Húmedas,2021-01-23,89150.63
1478,11 Toallas Húmedas,2021-01-29,90669.1
1479,01 Higiénicos Masivos,2021-05-02,5998.47
1480,04 Pañuelos Masivos,2020-12-24,3520.24
1481,01 Higiénicos Masivos,2020-10-28,5981947.02
1482,38 Pañales Adultos,2020-10-05,56189.53
1483,10 Toallas Femeninas,2020-12-10,169107.26
1484,03 Servilletas Masivos,2019-10-03,622621.82
1485,03 Servilletas Masivos,2021-06-04,321127.16
1486,04 Pañuelos Masivos,2021-06-28,684.08
1487,01 Mascarilla ,2021-03-29,2369.39
1488,03 Servilletas Masivos,2019-10-09,673572.79
1489,04 Pañuelos Masivos,2019-11-02,6476.59
1490,11 Toallas Húmedas,2019-12-05,29192.09
1491,02 Rollos de Cocina,2020-02-04,822951.37
1492,38 Pañales Adultos,2020-02-13,83390.71
1493,05 Pañales Bebe,2020-11-04,1590229.96
1494,03 Servilletas Masivos,2021-05-29,280558.61
1495,02 Rollos de Cocina,2021-03-25,1510305.48
1496,05 Pañales Bebe,2020-04-29,2359590.88
1497,01 Higiénicos Masivos,2019-09-03,6274400.53
1498,11 Toallas Húmedas,2021-01-08,85908.3
1499,05 Pañales Bebe,2020-01-25,2396825.85
1500,01 Higiénicos Masivos,2021-05-10,3967060.3
1501,02 Rollos de Cocina,2020-12-14,2057582.52
1502,01 Higiénicos Masivos,2019-09-08,172182.94
1503,10 Toallas Femeninas,2020-09-26,176058.56
1504,01 Mascotas,2021-06-23,842.04
1505,03 Servilletas Masivos,2020-04-14,225092.64
1506,11 Toallas Húmedas,2020-07-06,56368.6
1507,02 Rollos de Cocina,2020-12-20,213615.44
1508,10 Toallas Femeninas,2020-02-07,228219.79
1509,38 Pañales Adultos,2020-03-12,37024.28
1510,02 Rollos de Cocina,2019-10-29,809658.53
1511,03 Servilletas Masivos,2020-12-02,336380.85
1512,11 Toallas Húmedas,2020-01-05,3365.8
1513,03 Servilletas Masivos,2021-06-06,9934.03
1514,10 Toallas Femeninas,2020-09-29,218448.14
1515,38 Pañales Adultos,2020-09-14,64892.94
1516,05 Pañales Bebe,2020-07-29,2013419.42
1517,04 Pañuelos Masivos,2020-08-22,3915.26
1518,03 Servilletas Masivos,2019-10-11,631638.52
1519,01 Mascarilla ,2020-12-31,9178.51
1520,01 Higiénicos Masivos,2021-05-04,4139694.45
1521,04 Pañuelos Masivos,2020-02-18,10344.33
1522,01 Higiénicos Masivos,2019-09-14,4708862.28
1523,01 Mascotas,2020-12-19,4074.47
1524,10 Toallas Femeninas,2021-03-28,26331.01
1525,10 Toallas Femeninas,2021-04-03,77409.12
1526,03 Servilletas Masivos,2019-10-14,563447.23
1527,02 Rollos de Cocina,2020-12-17,2583318.87
1528,38 Pañales Adultos,2020-03-15,733.32
1529,11 Toallas Húmedas,2020-07-03,63040.32
1530,01 Higiénicos Masivos,2020-11-02,3105072.99
1531,04 Pañuelos Masivos,2021-04-14,3747.55
1532,11 Toallas Húmedas,2020-07-09,47677.48
1533,38 Pañales Adultos,2020-09-17,66416.33
1534,04 Pañuelos Masivos,2020-02-21,7907.84
1535,02 Rollos de Cocina,2019-10-26,614631.0
1536,01 Mascotas,2021-06-26,5.08
1537,03 Servilletas Masivos,2021-06-09,389197.14
1538,01 Higiénicos Masivos,2021-05-07,4178021.02
1539,05 Pañales Bebe,2020-01-22,2199257.31
1540,03 Servilletas Masivos,2019-10-08,445244.63
1541,03 Servilletas Masivos,2021-06-03,326874.22
1542,01 Higiénicos Masivos,2019-09-11,6303727.84
1543,02 Rollos de Cocina,2021-06-21,966120.2
1544,10 Toallas Femeninas,2021-03-31,451420.07
1545,05 Pañales Bebe,2020-07-26,60843.76
1546,01 Higiénicos Masivos,2020-11-05,4055090.51
1547,03 Servilletas Masivos,2020-06-05,247036.28
1548,03 Servilletas Masivos,2020-12-08,406889.94
1549,04 Pañuelos Masivos,2021-04-17,12004.51
1550,01 Higiénicos Masivos,2020-05-03,200.0
1551,10 Toallas Femeninas,2020-04-02,266972.43
1552,02 Rollos de Cocina,2020-06-17,1675024.8
1553,05 Pañales Bebe,2020-01-31,2522447.6
1554,11 Toallas Húmedas,2019-11-11,43252.73
1555,04 Pañuelos Masivos,2020-10-16,6452.07
1556,38 Pañales Adultos,2021-03-19,58480.78
1557,10 Toallas Femeninas,2020-10-05,202655.54
1558,05 Pañales Bebe,2021-03-21,86848.6
1559,01 Mascarilla ,2021-01-06,16989.7
1560,02 Rollos de Cocina,2020-06-20,1606272.52
1561,04 Pañuelos Masivos,2020-02-24,7372.58
1562,03 Servilletas Masivos,2021-06-12,306964.06
1563,01 Higiénicos Masivos,2020-05-06,6011192.23
1564,04 Pañuelos Masivos,2021-04-20,3971.17
1565,11 Toallas Húmedas,2021-01-02,22488.27
1566,38 Pañales Adultos,2021-03-13,38841.23
1567,03 Servilletas Masivos,2019-10-17,776479.96
1568,05 Pañales Bebe,2020-01-28,2349177.05
1569,02 Rollos de Cocina,2020-12-23,1845576.32
1570,11 Toallas Húmedas,2019-11-14,45140.21
1571,03 Servilletas Masivos,2020-12-11,395781.43
1572,03 Servilletas Masivos,2020-12-05,289676.91
1573,10 Toallas Femeninas,2020-03-30,238066.31
1574,01 Higiénicos Masivos,2020-11-08,109091.62
1575,05 Pañales Bebe,2021-03-18,2422520.58
1576,01 Mascarilla ,2021-01-09,1444.63
1577,10 Toallas Femeninas,2020-10-02,182540.22
1578,01 Mascotas,2020-06-19,184.95
1579,38 Pañales Adultos,2020-09-11,52665.07
1580,01 Higiénicos Masivos,2020-05-09,5460977.45
1581,02 Rollos de Cocina,2020-06-23,1804449.94
1582,05 Pañales Bebe,2021-03-24,5076055.22
1583,04 Pañuelos Masivos,2020-10-13,3901.85
1584,11 Toallas Húmedas,2021-01-05,74481.64
1585,02 Rollos de Cocina,2019-12-20,841870.04
1586,38 Pañales Adultos,2021-03-16,77828.01
1587,01 Mascotas,2020-12-22,15.66
1588,05 Pañales Bebe,2020-09-19,2148346.05
1589,05 Pañales Bebe,2020-09-25,2024886.97
1590,10 Toallas Femeninas,2020-04-08,189408.01
1591,38 Pañales Adultos,2021-05-16,297.37
1592,11 Toallas Húmedas,2020-09-05,62857.22
1593,38 Pañales Adultos,2020-11-11,63871.65
1594,05 Pañales Bebe,2020-03-23,1025667.65
1595,10 Toallas Femeninas,2021-05-28,207775.07
1596,11 Toallas Húmedas,2021-03-10,125390.79
1597,02 Rollos de Cocina,2021-02-16,1076861.18
